No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
17.0,Brandon Allen,32.0,QB,2,1.0,209.0,6-2,Arkansas,9/5/1992,5,,Jacksonville Jaguars / 6th / 201st pick / 2016,AlleBr00
69.0,Evan Anderson,22.0,DL,6,0.0,326.0,6-3,Florida Atlantic,2/14/2002,Rook,,,AndeEv00
65.0,Aaron Banks,27.0,OL,11,11.0,325.0,6-5,Notre Dame,9/3/1997,3,,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00
78.0,Ben Bartch,26.0,OL,1,0.0,315.0,6-6,Saint John's (MN),7/22/1998,4,,Jacksonville Jaguars / 4th / 116th pick / 2020,BartBe00
51.0,Robert Beal,25.0,DL,11,0.0,250.0,6-4,Georgia,8/18/1999,1,,San Francisco 49ers / 5th / 173rd pick / 2023,BealRo00
10.0,Ronnie Bell,24.0,WR,9,0.0,190.0,6-0,Michigan,1/28/2000,1,,San Francisco 49ers / 7th / 253rd pick / 2023,BellRo01
97.0,Nick Bosa,27.0,DL,10,10.0,266.0,6-4,Ohio St.,10/23/1997,5,,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00
64.0,Jake Brendel,32.0,OL,11,11.0,299.0,6-4,UCLA,9/10/1992,8,,,BrenJa01
27.0,Ji'Ayir Brown,24.0,S,11,11.0,202.0,5-11,LackawannaPenn St.,1/25/2000,1,,San Francisco 49ers / 3rd / 87th pick / 2023,BrowJi01
74.0,Spencer Burford,24.0,OL,11,0.0,300.0,6-4,Texas-San Antonio,7/19/2000,2,,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00
59.0,De'Vondre Campbell,31.0,LB,11,10.0,232.0,6-4,Minnesota,7/1/1993,8,,Atlanta Falcons / 4th / 115th pick / 2016,CampDe00
99.0,Maliek Collins,29.0,DL,11,11.0,310.0,6-2,Nebraska,4/8/1995,8,,Dallas Cowboys / 3rd / 67th pick / 2016,CollMa00
18.0,Chris Conley,32.0,WR,9,1.0,205.0,6-3,Georgia,10/25/1992,9,,Kansas City Chiefs / 3rd / 76th pick / 2015,ConlCh00
19.0,Jacob Cowing,23.0,WR,9,0.0,171.0,5-9,Texas-El PasoArizona,2/4/2001,Rook,,San Francisco 49ers / 4th / 135th pick / 2024,CowiJa00
93.0,Kalia Davis,26.0,DL,7,0.0,310.0,6-2,Central Florida,10/2/1998,1,,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01
,Khalil Davis,28.0,DT,1,0.0,315.0,6-2,Nebraska,8/22/1996,4,,Tampa Bay Buccaneers / 6th / 194th pick / 2020,DaviKh00
5.0,Joshua Dobbs,29.0,QB,0,0.0,220.0,6-3,Tennessee,1/26/1995,6,,Pittsburgh Steelers / 4th / 135th pick / 2017,DobbJo00
92.0,Jordan Elliott,27.0,DL,10,8.0,303.0,6-4,TexasMissouri,11/23/1997,4,,Cleveland Browns / 3rd / 88th pick / 2020,ElliJo02
45.0,Demetrius Flannigan-Fowles,28.0,LB,9,3.0,223.0,6-2,Arizona,9/4/1996,4,,,FlanDe00
56.0,Leonard Floyd,32.0,DL,11,11.0,240.0,6-3,Georgia,9/8/1992,8,,Chicago Bears / 1st / 9th pick / 2016,FloyLe00
43.0,Tashaun Gipson,34.0,S,3,0.0,212.0,5-11,Wyoming,8/7/1990,12,,,GipsTa00
90.0,Kevin Givens,27.0,DL,7,1.0,285.0,6-1,Penn St.,3/1/1997,5,,,GiveKe01
0.0,Renardo Green,24.0,CB,11,3.0,186.0,6-0,Florida St.,11/9/2000,Rook,,San Francisco 49ers / 2nd / 64th pick / 2024,GreeRe00
94.0,Yetur Gross-Matos,26.0,DL,5,0.0,265.0,6-5,Penn St.,2/26/1998,4,,Carolina Panthers / 2nd / 38th pick / 2020,GrosYe00
31.0,Isaac Guerendo,24.0,RB,11,0.0,221.0,6-0,WisconsinLouisville,6/28/2000,Rook,,San Francisco 49ers / 4th / 129th pick / 2024,GuerIs00
15.0,Jauan Jennings,27.0,WR,9,5.0,212.0,6-3,Tennessee,7/10/1997,3,,San Francisco 49ers / 7th / 217th pick / 2020,JennJa00
44.0,Kyle Juszczyk,33.0,FB,11,9.0,235.0,6-2,Harvard,4/23/1991,11,,Baltimore Ravens / 4th / 130th pick / 2013,JuszKy00
85.0,George Kittle,31.0,TE,9,9.0,250.0,6-4,Iowa,10/9/1993,7,,San Francisco 49ers / 5th / 146th pick / 2017,KittGe00
2.0,Deommodore Lenoir,25.0,DB,11,11.0,200.0,5-10,Oregon,10/6/1999,3,,San Francisco 49ers / 5th / 172nd pick / 2021,LenoDe00
24.0,Jordan Mason,25.0,RB,11,6.0,223.0,5-11,Georgia Tech,5/24/1999,2,,,MasoJo00
23.0,Christian McCaffrey,28.0,RB,3,3.0,210.0,5-11,Stanford,6/7/1996,7,,Carolina Panthers / 1st / 8th pick / 2017,McCaCh01
68.0,Colton McKivitz,28.0,OL,11,11.0,301.0,6-6,West Virginia,8/9/1996,4,,San Francisco 49ers / 5th / 153rd pick / 2020,McKiCo00
4.0,Jake Moody,25.0,K,8,0.0,210.0,6-1,Michigan,11/23/1999,1,,San Francisco 49ers / 3rd / 99th pick / 2023,MoodJa00
76.0,Jaylon Moore,26.0,OL,11,1.0,311.0,6-4,Western Michigan,1/9/1998,3,,San Francisco 49ers / 5th / 155th pick / 2021,MoorJa04
6.0,Malik Mustapha,22.0,S,11,7.0,206.0,5-10,RichmondWake Forest,6/25/2002,Rook,,San Francisco 49ers / 4th / 124th pick / 2024,MustMa00
40.0,Pat O'Donnell,33.0,P,2,0.0,223.0,6-4,Miami (FL),2/22/1991,10,,Chicago Bears / 6th / 191st pick / 2014,ODonPa00
30.0,George Odum,31.0,S,11,2.0,202.0,6-1,Central Arkansas,11/3/1993,6,,,OdumGe00
91.0,Sam Okuayinonu,26.0,DL,10,1.0,269.0,6-1,Maryland,5/1/1998,2,,,OkuaSa00
14.0,Ricky Pearsall,24.0,WR,5,2.0,189.0,6-3,Arizona St.Florida,9/9/2000,Rook,,San Francisco 49ers / 1st / 31st pick / 2024,PearRi00
46.0,Taybor Pepper,30.0,LS,11,0.0,245.0,6-4,Michigan St.,5/28/1994,7,,,PeppTa00
77.0,Dominick Puni,24.0,OL,11,11.0,313.0,6-5,Central Missouri St.Kansas,2/24/2000,Rook,,San Francisco 49ers / 3rd / 86th pick / 2024,PuniDo00
13.0,Brock Purdy,25.0,QB,10,10.0,220.0,6-1,Iowa St.,12/27/1999,2,,San Francisco 49ers / 7th / 262nd pick / 2022,PurdBr00
1.0,Deebo Samuel,28.0,WR,10,10.0,215.0,6-0,South Carolina,1/15/1996,5,,San Francisco 49ers / 2nd / 36th pick / 2019,SamuDe00
82.0,Eric Saubert,30.0,TE,11,3.0,248.0,6-5,Drake,5/1/1994,7,,Atlanta Falcons / 5th / 174th pick / 2017,SaubEr00
88.0,Jake Tonges,25.0,TE,11,0.0,240.0,6-4,California,7/8/1999,2,,,TongJa00
7.0,Charvarius Ward,28.0,CB,7,7.0,196.0,6-1,Hinds CCMiddle Tenn. St.,5/16/1996,6,,,WardCh01
54.0,Fred Warner,28.0,LB,11,11.0,230.0,6-3,BYU,11/19/1996,6,,San Francisco 49ers / 3rd / 70th pick / 2018,WarnFr00
71.0,Trent Williams,36.0,OT,10,10.0,320.0,6-5,Oklahoma,7/19/1988,14,,Washington Redskins / 1st / 4th pick / 2010,WillTr21
9.0,Brayden Willis,25.0,TE,4,0.0,240.0,6-4,Oklahoma,11/11/1999,1,,San Francisco 49ers / 7th / 247th pick / 2023,WillBr06
53.0,Dee Winters,24.0,LB,9,5.0,227.0,5-11,TCU,10/17/2000,1,,San Francisco 49ers / 6th / 216th pick / 2023,WintDe00
33.0,Rock Ya-Sin,28.0,CB,10,0.0,195.0,5-11,Temple,5/23/1996,5,,Indianapolis Colts / 2nd / 34th pick / 2019,Ya-SRo00
22.0,Isaac Yiadom,28.0,CB,11,4.0,232.0,6-1,Boston Col.,2/20/1996,6,,Denver Broncos / 3rd / 99th pick / 2018,YiadIs00
63.0,Nick Zakelj,25.0,OL,11,0.0,316.0,6-6,Fordham,6/22/1999,2,,San Francisco 49ers / 6th / 187th pick / 2022,ZakeNi00
95.0,Drake Jackson (PUP),23.0,DL,0,0.0,273.0,6-4,USC,4/12/2001,2,,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01
57.0,Dre Greenlaw (IRD),27.0,LB,0,0.0,230.0,6-0,Arkansas,5/25/1997,5,,San Francisco 49ers / 5th / 148th pick / 2019,GreeDr00
11.0,Brandon Aiyuk (IR),26.0,WR,7,7.0,200.0,6-0,Arizona St.,3/17/1998,4,,San Francisco 49ers / 1st / 25th pick / 2020,AiyuBr00
48.0,Tatum Bethune (IR),23.0,LB,9,0.0,230.0,6-1,Central FloridaFlorida St.,2/19/2001,Rook,,San Francisco 49ers / 7th / 251st pick / 2024,BethTa00
55.0,Jon Feliciano (IR),32.0,OL,0,0.0,325.0,6-4,Miami (FL),2/10/1992,9,,Oakland Raiders / 4th / 128th pick / 2015,FeliJo00
98.0,Javon Hargrave (IR),31.0,DL,3,3.0,305.0,6-2,South Carolina St.,2/7/1993,8,,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00
29.0,Talanoa Hufanga (IR),25.0,S,2,2.0,200.0,6-0,USC,2/2/1999,3,,San Francisco 49ers / 5th / 180th pick / 2021,HufaTa00
28.0,Darrell Luter (IR),24.0,CB,3,0.0,190.0,6-0,Pearl River CCSouth Alabama,4/24/2000,1,,San Francisco 49ers / 5th / 155th pick / 2023,LuteDa00
25.0,Elijah Mitchell (IR),26.0,RB,0,0.0,200.0,5-10,Louisiana,5/2/1998,3,,San Francisco 49ers / 6th / 194th pick / 2021,MitcEl00
36.0,Curtis Robinson (IR),26.0,LB,3,0.0,235.0,6-3,Stanford,6/2/1998,3,,,RobiCu00
20.0,Ambry Thomas (IR),25.0,CB,0,0.0,190.0,6-0,Michigan,9/9/1999,3,,San Francisco 49ers / 3rd / 102nd pick / 2021,ThomAm00
3.0,Mitch Wishnowsky (IR),32.0,P,9,0.0,220.0,6-2,Utah,3/3/1992,5,,San Francisco 49ers / 4th / 110th pick / 2019,WishMi00
,Team Total,27.3,,11,,240.1,6-1.9,,,4.1,,,-9999
