No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
23.0,Jaire Alexander,27.0,CB,6,6.0,196.0,5-10,Louisville,2/9/1997,6,,Green Bay Packers / 1st / 18th pick / 2018,AlexJa00
39.0,Zayne Anderson,27.0,S,9,0.0,206.0,6-2,BYU,1/3/1997,3,,,AndeZa02
26.0,Corey Ballentine,28.0,CB,8,1.0,196.0,5-11,Washburn,4/13/1996,5,,New York Giants / 6th / 180th pick / 2019,BallCo00
30.0,Chris Brooks,24.0,RB,7,0.0,226.0,6-1,CaliforniaBYU,1/11/2000,1,,,BrooCh00
94.0,Karl Brooks,24.0,DL,9,0.0,296.0,6-3,Bowling Green,5/8/2000,1,,Green Bay Packers / 6th / 179th pick / 2023,BrooKa00
20.0,Javon Bullard,22.0,S,9,7.0,198.0,5-10,Georgia,9/5/2002,Rook,,Green Bay Packers / 2nd / 58th pick / 2024,BullJa00
97.0,Kenny Clark,29.0,DL,9,9.0,314.0,6-3,UCLA,10/4/1995,8,,Green Bay Packers / 1st / 27th pick / 2016,ClarKe01
56.0,Edgerrin Cooper,23.0,LB,9,1.0,229.0,6-2,Texas A&M,11/17/2001,Rook,,Green Bay Packers / 2nd / 45th pick / 2024,CoopEd00
57.0,Brenton Cox,24.0,DL,0,0.0,250.0,6-4,GeorgiaFlorida,1/30/2000,1,,,CoxxBr02
73.0,Andre Dillard,29.0,T,4,0.0,315.0,6-5,Washington St.,10/3/1995,5,,Philadelphia Eagles / 1st / 22nd pick / 2019,DillAn00
87.0,Romeo Doubs,24.0,WR,8,7.0,204.0,6-2,Nevada,4/13/2000,2,,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00
55.0,Kingsley Enagbare,24.0,DL,9,0.0,258.0,6-4,South Carolina,1/18/2000,2,,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00
,John FitzPatrick,24.0,TE,2,0.0,250.0,6-7,Georgia,3/9/2000,1,,Atlanta Falcons / 6th / 213th pick / 2022,FitzJo00
52.0,Rashan Gary,27.0,DL,9,9.0,277.0,6-5,Michigan,12/3/1997,5,,Green Bay Packers / 1st / 12th pick / 2019,GaryRa00
79.0,Travis Glover,24.0,T,0,0.0,317.0,6-6,Georgia St.,8/17/2000,Rook,,Green Bay Packers / 6th / 202nd pick / 2024,GlovTr00
18.0,Malik Heath,24.0,WR,7,1.0,213.0,6-2,Copiah-Lincoln CCMississippi St.Mississippi,3/3/2000,1,,,HeatMa00
59.0,Ty'Ron Hopper,23.0,LB,9,0.0,228.0,6-2,FloridaMissouri,4/26/2001,Rook,,Green Bay Packers / 3rd / 91st pick / 2024,HoppTy00
8.0,Josh Jacobs,26.0,RB,9,9.0,223.0,5-10,Alabama,2/11/1998,5,,Oakland Raiders / 1st / 24th pick / 2019,JacoJo01
74.0,Elgton Jenkins,29.0,OL,9,9.0,311.0,6-5,Mississippi St.,12/26/1995,5,,Green Bay Packers / 2nd / 44th pick / 2019,JenkEl00
85.0,Tucker Kraft,24.0,TE,9,9.0,259.0,6-5,South Dakota St.,11/3/2000,1,,Green Bay Packers / 3rd / 78th pick / 2023,KrafTu00
10.0,Jordan Love,26.0,QB,7,7.0,219.0,6-4,Utah St.,11/2/1998,3,,Green Bay Packers / 1st / 26th pick / 2020,LoveJo03
58.0,Isaiah McDuffie,25.0,LB,9,9.0,227.0,6-1,Boston Col.,7/21/1999,3,,Green Bay Packers / 6th / 220th pick / 2021,McDuIs00
29.0,Xavier McKinney,26.0,S,9,9.0,201.0,6-0,Alabama,8/8/1998,4,,New York Giants / 2nd / 36th pick / 2020,McKiXa00
,Brandon McManus,33.0,K,3,0.0,201.0,6-3,Temple,7/25/1991,10,,,McMaBr01
80.0,Bo Melton,25.0,WR,9,0.0,189.0,5-11,Rutgers,5/18/1999,1,,Seattle Seahawks / 7th / 229th pick / 2022,MeltBo00
62.0,Jacob Monk,23.0,OL,8,0.0,308.0,6-3,Duke,6/4/2001,Rook,,Green Bay Packers / 5th / 163rd pick / 2024,MonkJa00
77.0,Jordan Morgan,23.0,OT,6,1.0,311.0,6-5,Arizona,8/4/2001,Rook,,Green Bay Packers / 1st / 25th pick / 2024,MorgJo03
53.0,Arron Mosby,25.0,DL,8,0.0,250.0,6-3,Fresno St.,4/13/1999,2,,,MosbAr00
71.0,Josh Myers,26.0,OL,8,8.0,310.0,6-5,Ohio St.,7/16/1998,3,,Green Bay Packers / 2nd / 62nd pick / 2021,MyerJo00
25.0,Keisean Nixon,27.0,CB,9,7.0,200.0,5-10,South Carolina,6/22/1997,5,,,NixoKe00
27.0,Kitan Oladapo,24.0,S,3,0.0,216.0,6-2,Oregon St.,10/10/2000,Rook,,Green Bay Packers / 5th / 169th pick / 2024,OladKi00
,Matthew Orzech,29.0,LS,9,0.0,245.0,6-3,Azusa Pacific,4/12/1995,5,,,OrzeMa00
11.0,Jayden Reed,24.0,WR,9,4.0,187.0,5-11,Western MichiganMichigan St.,4/28/2000,1,,Green Bay Packers / 2nd / 50th pick / 2023,ReedJa03
75.0,Sean Rhyan,24.0,G,9,9.0,321.0,6-5,UCLA,9/15/2000,2,,Green Bay Packers / 3rd / 92nd pick / 2022,RhyaSe00
89.0,Ben Sims,24.0,TE,9,4.0,250.0,6-5,Baylor,5/16/2000,1,,,SimsBe00
93.0,Tedarrell Slaton,27.0,DL,9,9.0,330.0,6-4,Florida,10/3/1997,3,,Green Bay Packers / 5th / 173rd pick / 2021,SlatTe00
21.0,Eric Stokes,25.0,CB,9,6.0,194.0,6-1,Georgia,3/1/1999,3,,Green Bay Packers / 1st / 29th pick / 2021,StokEr00
76.0,Kadeem Telfort,26.0,T,8,0.0,322.0,6-6,FloridaGarden City (KS)Ala-Birmingham,11/10/1998,1,,,TelfKa00
50.0,Zach Tom,25.0,OL,9,9.0,304.0,6-4,Wake Forest,3/26/1999,2,,Green Bay Packers / 4th / 140th pick / 2022,TomxZa00
24.0,Carrington Valentine,23.0,CB,7,0.0,189.0,6-0,Kentucky,9/9/2001,1,,Green Bay Packers / 7th / 232nd pick / 2023,ValeCa00
90.0,Lukas Van Ness,23.0,DL,9,0.0,272.0,6-5,Iowa,7/6/2001,1,,Green Bay Packers / 1st / 13th pick / 2023,VanNLu00
7.0,Quay Walker,24.0,LB,8,8.0,241.0,6-4,Georgia,5/8/2000,2,,Green Bay Packers / 1st / 22nd pick / 2022,WalkQu00
63.0,Rasheed Walker,24.0,T,9,9.0,324.0,6-6,Penn St.,2/13/2000,2,,Green Bay Packers / 7th / 249th pick / 2022,WalkRa00
9.0,Christian Watson,25.0,WR,8,8.0,208.0,6-4,North Dakota St.,5/12/1999,2,,Green Bay Packers / 2nd / 34th pick / 2022,WatsCh00
19.0,Daniel Whelan,25.0,P,9,0.0,216.0,6-5,UC Davis,2/10/1999,1,,,WhelDa00
13.0,Dontayvion Wicks,23.0,WR,9,1.0,206.0,6-1,Virginia,6/16/2001,1,,Green Bay Packers / 5th / 159th pick / 2023,WickDo00
33.0,Evan Williams,23.0,S,8,3.0,200.0,5-11,Fresno St.Oregon,7/28/2001,Rook,,Green Bay Packers / 4th / 111th pick / 2024,WillEv00
2.0,Malik Willis,25.0,QB,4,2.0,219.0,6-1,AuburnLiberty,5/25/1999,2,,Tennessee Titans / 3rd / 86th pick / 2022,WillMa12
