No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
49.0,Matthew Adams,29.0,LB,6,0.0,230.0,6-0,Houston,12/12/1995,6,,Indianapolis Colts / 7th / 221st pick / 2018,AdamMa00
3.0,Deonte Banks,23.0,CB,10,10.0,200.0,6-2,Maryland,3/3/2001,1,,New York Giants / 1st / 24th pick / 2023,BankDe00
82.0,Daniel Bellinger,24.0,TE,10,3.0,255.0,6-6,San Diego St.,9/22/2000,2,,New York Giants / 4th / 112th pick / 2022,BellDa00
24.0,Dane Belton,24.0,S,10,2.0,190.0,6-1,Iowa,12/7/2000,2,,New York Giants / 4th / 114th pick / 2022,BeltDa00
0.0,Brian Burns,26.0,OLB,10,10.0,250.0,6-5,Florida St.,4/23/1998,5,,Carolina Panthers / 1st / 16th pick / 2019,BurnBr00
94.0,Elijah Chatman,24.0,DT,10,1.0,278.0,6-0,SMU,12/5/2000,Rook,,,ChatEl00
98.0,D.J. Davidson,25.0,DL,10,2.0,320.0,6-5,Arizona St.,12/16/1999,2,,New York Giants / 5th / 147th pick / 2022,DaviDJ00
15.0,Tommy DeVito,26.0,QB,0,0.0,210.0,6-2,SyracuseIllinois,8/7/1998,1,,,DeViTo00
72.0,Jermaine Eluemunor,30.0,OL,10,10.0,338.0,6-4,LackawannaTexas A&M,12/13/1994,7,,Baltimore Ravens / 5th / 159th pick / 2017,ElueJe00
75.0,Joshua Ezeudu,25.0,OL,10,1.0,310.0,6-4,North Carolina,9/19/1999,2,,New York Giants / 3rd / 67th pick / 2022,EzeuJo00
28.0,Cordale Flott,23.0,CB,9,7.0,175.0,6-2,LSU,8/24/2001,2,,New York Giants / 3rd / 81st pick / 2022,FlotCo00
88.0,Bryce Ford-Wheaton,24.0,WR,7,0.0,220.0,6-3,West Virginia,3/9/2000,1,,,FordBr00
45.0,Tomon Fox,26.0,OLB,5,0.0,245.0,6-2,North Carolina,3/16/1998,2,,,FoxxTo00
9.0,Graham Gano,37.0,K,3,0.0,202.0,6-2,Florida St.,4/9/1987,15,,,GanoGr44
6.0,Jamie Gillan,27.0,P,6,0.0,207.0,6-1,Ark-Pine Bluff,7/4/1997,5,,,GillJa00
20.0,Eric Gray,25.0,RB,10,0.0,211.0,5-10,TennesseeOklahoma,11/4/1999,1,,New York Giants / 5th / 172nd pick / 2023,GrayEr01
35.0,Art Green,24.0,CB,2,0.0,201.0,6-1,Hutchinson (KS)Houston,4/29/2000,1,,,GreeAr01
37.0,Tre Hawkins,24.0,CB,2,0.0,195.0,6-3,Trinity Valley CC (TX)Old Dominion,8/1/2000,1,,New York Giants / 6th / 209th pick / 2023,HawkTr00
70.0,Chris Hubbard,33.0,OT,3,2.0,295.0,6-4,Ala-Birmingham,4/23/1991,10,,,HubbCh00
13.0,Jalin Hyatt,23.0,WR,9,3.0,185.0,6-0,Tennessee,9/25/2001,1,,New York Giants / 3rd / 73rd pick / 2023,HyatJa00
21.0,Adoree' Jackson,29.0,CB,7,0.0,185.0,5-11,USC,9/18/1995,7,,Tennessee Titans / 1st / 18th pick / 2017,JackAd00
23.0,Anthony Johnson,25.0,S,4,0.0,205.0,6-0,Iowa St.,12/2/1999,1,,Green Bay Packers / 7th / 242nd pick / 2023,JohnAn08
,Patrick Johnson,26.0,OLB,8,0.0,248.0,6-2,Tulane,1/10/1998,3,,Philadelphia Eagles / 7th / 234th pick / 2021,JohnPa02
84.0,Theo Johnson,23.0,TE,10,9.0,264.0,6-6,Penn St.,2/26/2001,Rook,,New York Giants / 4th / 107th pick / 2024,JohnTh00
8.0,Daniel Jones,27.0,QB,10,10.0,230.0,6-5,Duke,5/27/1997,5,,New York Giants / 1st / 6th pick / 2019,JoneDa05
59.0,Casey Kreiter,34.0,LS,10,0.0,250.0,6-1,Iowa,8/13/1990,8,,,KreiCa00
63.0,Jake Kubas,24.0,OG,0,0.0,308.0,6-4,North Dakota St.,8/13/2000,Rook,,,KubaJa00
97.0,Dexter Lawrence,27.0,DL,10,10.0,340.0,6-4,Clemson,11/12/1997,5,,New York Giants / 1st / 17th pick / 2019,LawrDe03
2.0,Drew Lock,28.0,QB,2,0.0,228.0,6-4,Missouri,11/10/1996,5,,Denver Broncos / 2nd / 42nd pick / 2019,LockDr00
85.0,Chris Manhertz,32.0,TE,10,6.0,235.0,6-6,Canisius,4/10/1992,8,,,ManhCh00
41.0,Micah McFadden,24.0,LB,9,9.0,232.0,6-2,Indiana,1/3/2000,2,,New York Giants / 5th / 146th pick / 2022,McFaMi01
53.0,Darius Muasau,23.0,LB,8,1.0,234.0,6-0,HawaiiUCLA,2/10/2001,Rook,,New York Giants / 6th / 183rd pick / 2024,MuasDa00
1.0,Malik Nabers,21.0,WR,8,7.0,200.0,6-0,LSU,7/28/2003,Rook,,New York Giants / 1st / 6th pick / 2024,NabeMa00
73.0,Evan Neal,24.0,T,3,1.0,340.0,6-7,Alabama,9/19/2000,2,,New York Giants / 1st / 7th pick / 2022,NealEv00
31.0,Tyler Nubin,23.0,S,10,10.0,210.0,6-2,Minnesota,6/14/2001,Rook,,New York Giants / 2nd / 47th pick / 2024,NubiTy00
93.0,Rakeem Nunez-Roches,31.0,DL,10,10.0,305.0,6-2,Southern Miss,7/3/1993,9,,Kansas City Chiefs / 6th / 217th pick / 2015,NuneRa00
51.0,Azeez Ojulari,24.0,OLB,10,5.0,240.0,6-3,Georgia,6/16/2000,3,,New York Giants / 2nd / 50th pick / 2021,OjulAz00
58.0,Bobby Okereke,28.0,LB,10,10.0,235.0,6-2,Stanford,7/29/1996,5,,Indianapolis Colts / 3rd / 89th pick / 2019,OkerBo00
22.0,Andru Phillips,23.0,CB,9,4.0,180.0,5-11,Kentucky,11/30/2001,Rook,,New York Giants / 3rd / 70th pick / 2024,PhilAn02
27.0,Jason Pinnock,25.0,S,9,9.0,200.0,6-0,Pittsburgh,6/30/1999,3,,New York Jets / 5th / 175th pick / 2021,PinnJa01
95.0,Jordon Riley,26.0,DL,7,0.0,315.0,6-5,North CarolinaGarden City (KS)NebraskaOregon,5/19/1998,1,,New York Giants / 7th / 243rd pick / 2023,RileJo00
17.0,Wan'Dale Robinson,23.0,WR,10,4.0,185.0,5-8,NebraskaKentucky,1/5/2001,2,,New York Giants / 2nd / 43rd pick / 2022,RobiWa01
76.0,Jon Runyan Jr.,27.0,G,10,10.0,307.0,6-4,Michigan,8/8/1997,4,,Green Bay Packers / 6th / 192nd pick / 2020,RunyJo00
61.0,John Michael Schmitz,25.0,C,10,10.0,320.0,6-4,Minnesota,3/19/1999,1,,New York Giants / 2nd / 57th pick / 2023,MichJo00
19.0,Isaiah Simmons,26.0,S,10,0.0,238.0,6-4,Clemson,7/26/1998,4,,Arizona Cardinals / 1st / 8th pick / 2020,SimmIs00
26.0,Devin Singletary,27.0,RB,8,4.0,203.0,5-7,Florida Atlantic,9/3/1997,5,,Buffalo Bills / 3rd / 74th pick / 2019,SingDe00
86.0,Darius Slayton,27.0,WR,9,7.0,198.0,6-1,Auburn,1/12/1997,5,,New York Giants / 5th / 171st pick / 2019,SlayDa01
87.0,Ihmir Smith-Marsette,25.0,WR,8,0.0,185.0,6-1,Iowa,8/29/1999,3,,Minnesota Vikings / 5th / 157th pick / 2021,SmitIh00
64.0,Aaron Stinnie,30.0,G,10,0.0,312.0,6-3,James Madison,2/18/1994,6,,,StinAa00
47.0,Ty Summers,29.0,LB,9,0.0,241.0,6-1,TCU,12/31/1995,5,,Green Bay Packers / 7th / 226th pick / 2019,SummTy00
29.0,Tyrone Tracy,25.0,RB,10,6.0,210.0,5-11,IowaPurdue,11/23/1999,Rook,,New York Giants / 5th / 166th pick / 2024,TracTy00
74.0,Greg Van Roten,34.0,OG,10,10.0,295.0,6-4,Pennsylvania,2/26/1990,12,,,VanRGr00
96.0,Armon Watts,28.0,DT,3,0.0,307.0,6-5,Arkansas,7/22/1996,5,,Minnesota Vikings / 6th / 190th pick / 2019,WattAr01
52.0,Carter Coughlin (PRA_),27.0,LB,1,0.0,240.0,6-3,Minnesota,7/20/1997,4,,New York Giants / 7th / 218th pick / 2020,CougCa00
54.0,Dyontae Johnson (IR),24.0,LB,0,0.0,230.0,6-2,Toledo,9/28/2000,Rook,,,JohnDy00
80.0,Gunner Olszewski (IR),28.0,WR,0,0.0,190.0,6-0,Bemidji St.,11/26/1996,5,,,OlszGu00
34.0,Elijah Riley (IR),26.0,DB,0,0.0,205.0,6-0,Army,6/12/1998,4,,,RileEl01
65.0,Austin Schlottmann (IR),29.0,OL,0,0.0,300.0,6-6,TCU,9/18/1995,5,,,SchlAu00
5.0,Kayvon Thibodeaux (IR),24.0,OLB,5,5.0,258.0,6-5,Oregon,12/15/2000,2,,New York Giants / 1st / 5th pick / 2022,ThibKa00
78.0,Andrew Thomas (IR),25.0,T,6,6.0,315.0,6-5,Georgia,1/22/1999,4,,New York Giants / 1st / 4th pick / 2020,ThomAn02
,Team Total,26.5,,10,,239.1,6-2.0,,,3.6,,,-9999
