No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
13.0,Keenan Allen,32.0,WR,7,7.0,211.0,6-2,California,4/27/1992,11,,San Diego Chargers / 3rd / 76th pick / 2013,AlleKe00
72.0,Kiran Amegadjie,22.0,OL,4,0.0,326.0,6-5,Yale,2/1/2002,Rook,,Chicago Bears / 3rd / 75th pick / 2024,AmegKi00
17.0,Tyson Bagent,24.0,QB,2,0.0,213.0,6-3,Shepherd,6/8/2000,1,,,BageTy00
71.0,Ryan Bates,27.0,OL,2,1.0,302.0,6-4,Penn St.,2/14/1997,5,,,BateRy02
39.0,Josh Blackwell,25.0,DB,9,1.0,180.0,5-11,Duke,4/5/1999,2,,,BlacJo00
94.0,Austin Booker,22.0,DL,9,0.0,245.0,6-6,MinnesotaKansas,12/14/2002,Rook,,Chicago Bears / 5th / 144th pick / 2024,BookAu00
75.0,Larry Borom,25.0,OL,2,2.0,333.0,6-5,Missouri,3/30/1999,3,,Chicago Bears / 5th / 151st pick / 2021,BoroLa00
9.0,Jaquan Brisker,25.0,DB,5,5.0,200.0,6-1,LackawannaPenn St.,4/20/1999,2,,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01
31.0,Kevin Byard,31.0,DB,9,9.0,212.0,5-11,Middle Tenn. St.,8/17/1993,8,,Tennessee Titans / 3rd / 64th pick / 2016,ByarKe01
11.0,DeAndre Carter,31.0,WR,9,0.0,190.0,5-8,Sacramento St.,4/10/1993,6,,,CartDe02
93.0,Byron Cowart,28.0,DT,7,0.0,300.0,6-3,Maryland,5/20/1996,5,,New England Patriots / 5th / 159th pick / 2019,CowaBy00
73.0,Jake Curhan,26.0,OL,2,0.0,316.0,6-6,California,7/9/1998,3,,,CurhJa00
46.0,Scott Daly,30.0,LS,9,0.0,245.0,6-1,Notre Dame,2/7/1994,3,,,DalySc01
99.0,Gervon Dexter,23.0,DL,9,9.0,312.0,6-6,Florida,10/5/2001,1,,Chicago Bears / 2nd / 53rd pick / 2023,DextGe00
49.0,Tremaine Edmunds,26.0,LB,9,9.0,250.0,6-5,Virginia Tech,5/2/1998,6,,Buffalo Bills / 1st / 16th pick / 2018,EdmuTr01
53.0,T.J. Edwards,28.0,LB,9,9.0,242.0,6-1,Wisconsin,8/12/1996,5,,,EdwaTJ02
14.0,Gerald Everett,30.0,TE,9,3.0,252.0,6-3,South Alabama,6/25/1994,7,,Los Angeles Rams / 2nd / 44th pick / 2017,EverGe00
6.0,Kyler Gordon,25.0,DB,7,6.0,200.0,6-0,Washington,12/17/1999,2,,Chicago Bears / 2nd / 39th pick / 2022,GordKy00
92.0,Daniel Hardy,26.0,DL,9,0.0,240.0,6-3,Montana St.,12/15/1998,2,,Los Angeles Rams / 7th / 235th pick / 2022,HardDa01
22.0,Elijah Hicks,25.0,DB,9,4.0,200.0,5-11,California,10/16/1999,2,,Chicago Bears / 7th / 254th pick / 2022,HickEl00
20.0,Travis Homer,26.0,RB,5,0.0,202.0,5-10,Miami (FL),8/7/1998,5,,Seattle Seahawks / 6th / 204th pick / 2019,HomeTr00
76.0,Teven Jenkins,26.0,OL,9,9.0,321.0,6-6,Oklahoma St.,3/3/1998,3,,Chicago Bears / 2nd / 39th pick / 2021,JenkTe00
1.0,Jaylon Johnson,25.0,DB,9,9.0,196.0,6-0,Utah,4/19/1999,4,,Chicago Bears / 2nd / 50th pick / 2020,JohnJa13
23.0,Roschon Johnson,23.0,RB,8,0.0,225.0,6-0,Texas,1/31/2001,1,,Chicago Bears / 4th / 115th pick / 2023,JohnRo07
70.0,Braxton Jones,25.0,OL,7,7.0,310.0,6-5,Southern Utah,3/27/1999,2,,Chicago Bears / 5th / 168th pick / 2022,JoneBr08
85.0,Cole Kmet,25.0,TE,9,8.0,260.0,6-6,Notre Dame,3/10/1999,4,,Chicago Bears / 2nd / 43rd pick / 2020,KmetCo00
68.0,Doug Kramer,26.0,OL,9,0.0,300.0,6-2,Illinois,6/4/1998,1,,Chicago Bears / 6th / 207th pick / 2022,KramDo00
84.0,Marcedes Lewis,40.0,TE,9,2.0,267.0,6-6,UCLA,5/19/1984,18,,Jacksonville Jaguars / 1st / 28th pick / 2006,LewiMa00
55.0,Jacob Martin,29.0,DL,3,0.0,242.0,6-2,Temple,12/11/1995,6,,Seattle Seahawks / 6th / 186th pick / 2018,MartJa02
2.0,D.J. Moore,27.0,WR,9,9.0,210.0,5-11,Maryland,4/14/1997,6,,Carolina Panthers / 1st / 24th pick / 2018,MoorD.00
30.0,Tarvarius Moore,28.0,S,4,0.0,200.0,6-2,Southern Miss,8/16/1996,6,,San Francisco 49ers / 3rd / 95th pick / 2018,MoorTa00
15.0,Rome Odunze,22.0,WR,9,7.0,215.0,6-3,Washington,6/3/2002,Rook,,Chicago Bears / 1st / 9th pick / 2024,OdunRo00
45.0,Amen Ogbongbemiga,26.0,LB,9,0.0,231.0,6-0,Oklahoma St.,9/4/1998,3,,,OgboAm00
36.0,Jonathan Owens,29.0,S,9,0.0,210.0,5-11,Missouri Western St.,7/22/1995,5,,,OwenJo01
96.0,Zacch Pickens,24.0,DL,3,1.0,300.0,6-4,South Carolina,3/6/2000,1,,Chicago Bears / 3rd / 64th pick / 2023,PickZa00
79.0,Matt Pryor,30.0,OL,9,7.0,332.0,6-7,TCU,12/16/1994,5,,Philadelphia Eagles / 6th / 206th pick / 2018,PryoMa00
90.0,Dominique Robinson,26.0,DL,2,1.0,253.0,6-5,Miami (OH),7/2/1998,2,,Chicago Bears / 5th / 174th pick / 2022,RobiDo00
57.0,Jack Sanborn,24.0,LB,9,2.0,234.0,6-2,Wisconsin,7/29/2000,2,,,SanbJa00
8.0,Cairo Santos,33.0,K,9,0.0,175.0,5-8,Tulane,11/12/1991,10,,,SantCa01
10.0,Tyler Scott,23.0,WR,6,0.0,185.0,5-11,Cincinnati,10/12/2001,1,,Chicago Bears / 4th / 133rd pick / 2023,ScotTy00
44.0,Noah Sewell,22.0,LB,5,0.0,253.0,6-2,Oregon,4/26/2002,1,,Chicago Bears / 5th / 148th pick / 2023,SeweNo00
65.0,Coleman Shelton,29.0,OL,9,9.0,285.0,6-5,Washington,7/28/1995,5,,,ShelCo00
32.0,Terell Smith,25.0,DB,6,2.0,207.0,6-0,Minnesota,7/27/1999,1,,Chicago Bears / 5th / 165th pick / 2023,SmitTe05
38.0,Ameer Speed,24.0,CB,1,0.0,215.0,6-3,GeorgiaMichigan St.,10/13/2000,1,,New England Patriots / 6th / 214th pick / 2023,SpeeAm00
