No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
3.0,Jordan Addison,22.0,WR,7,7.0,175.0,5-11,PittsburghUSC,1/27/2002,1,,Minnesota Vikings / 1st / 23rd pick / 2023,AddiJo00
,Cam Akers,25.0,RB,4,0.0,217.0,5-10,Florida St.,6/22/1999,4,,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00
2.0,Brian Asamoah,24.0,LB,9,0.0,226.0,6-0,Oklahoma,3/29/2000,2,,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
56.0,Garrett Bradbury,29.0,C,9,9.0,300.0,6-3,North Carolina St.,6/20/1995,5,,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00
64.0,Blake Brandel,27.0,G,9,9.0,315.0,6-7,Oregon St.,1/23/1997,3,,Minnesota Vikings / 6th / 203rd pick / 2020,BranBl00
90.0,Jonathan Bullard,31.0,DL,9,9.0,290.0,6-3,Florida,10/22/1993,8,,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
24.0,Camryn Bynum,26.0,S,9,9.0,200.0,6-0,California,7/19/1998,3,,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00
51.0,Blake Cashman,28.0,LB,6,6.0,235.0,6-1,Minnesota,5/10/1996,5,,New York Jets / 5th / 157th pick / 2019,CashBl00
32.0,Ty Chandler,26.0,RB,9,0.0,204.0,5-11,TennesseeNorth Carolina,5/12/1998,2,,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
14.0,Sam Darnold,27.0,QB,9,9.0,225.0,6-3,USC,6/5/1997,6,,New York Jets / 1st / 3rd pick / 2018,DarnSa00
21.0,Akayleb Evans,25.0,CB,6,0.0,198.0,6-2,TulsaMissouri,6/22/1999,2,,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
69.0,Dan Feeney,30.0,C,7,0.0,305.0,6-4,Indiana,5/29/1994,7,,Los Angeles Chargers / 3rd / 71st pick / 2017,FeenDa00
2.0,Stephon Gilmore,34.0,CB,9,9.0,190.0,6-0,South Carolina,9/19/1990,12,,Buffalo Bills / 1st / 10th pick / 2012,GilmSt00
58.0,Jonathan Greenard,27.0,OLB,9,9.0,259.0,6-3,LouisvilleFlorida,5/25/1997,4,,Houston Texans / 3rd / 90th pick / 2020,GreeJo04
1.0,Shaquill Griffin,29.0,CB,9,0.0,198.0,6-0,Central Florida,7/20/1995,7,,Seattle Seahawks / 3rd / 90th pick / 2017,GrifSh00
54.0,Kamu Grugier-Hill,30.0,LB,9,1.0,230.0,6-2,Eastern Illinois,5/16/1994,8,,New England Patriots / 6th / 208th pick / 2016,GrugKa00
30.0,C.J. Ham,31.0,FB,9,3.0,250.0,5-11,Augustana (SD),7/22/1993,7,,,HamxC.00
87.0,T.J. Hockenson,27.0,TE,2,1.0,248.0,6-5,Iowa,7/3/1997,5,,Detroit Lions / 1st / 8th pick / 2019,HockTJ00
67.0,Ed Ingram,25.0,G,9,9.0,307.0,6-3,LSU,2/11/1999,2,,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
25.0,Theo Jackson,26.0,S,9,0.0,198.0,6-1,Tennessee,10/2/1998,2,,Tennessee Titans / 6th / 204th pick / 2022,JackTh00
18.0,Justin Jefferson,25.0,WR,9,9.0,195.0,6-1,LSU,6/16/1999,4,,Minnesota Vikings / 1st / 22nd pick / 2020,JeffJu00
33.0,Aaron Jones,30.0,RB,9,9.0,208.0,5-9,Texas-El Paso,12/2/1994,7,,Green Bay Packers / 5th / 182nd pick / 2017,JoneAa00
91.0,Patrick Jones II,26.0,OLB,9,1.0,264.0,6-4,Pittsburgh,9/29/1998,3,,Minnesota Vikings / 3rd / 90th pick / 2021,JonePa00
65.0,Michael Jurgens,24.0,G,1,0.0,311.0,6-5,Wake Forest,1/1/2000,Rook,,Minnesota Vikings / 7th / 230th pick / 2024,JurgMi02
29.0,Dwight McGlothern,,CB,0,0.0,185.0,6-2,Arkansas,,Rook,,,McGlDw00
44.0,Josh Metellus,26.0,S,9,4.0,207.0,5-11,Michigan,1/21/1998,4,,Minnesota Vikings / 6th / 205th pick / 2020,MeteJo00
23.0,Fabian Moreau,30.0,CB,3,0.0,204.0,6-0,UCLA,4/9/1994,7,,Washington Redskins / 3rd / 81st pick / 2017,MoreFa00
12.0,Nick Mullens,29.0,QB,2,0.0,210.0,6-0,Southern Miss,3/21/1995,6,,,MullNi00
86.0,Johnny Mundt,30.0,TE,9,3.0,233.0,6-4,Oregon,11/23/1994,7,,,MundJo00
7.0,Byron Murphy,26.0,CB,9,9.0,190.0,5-11,Washington,1/18/1998,5,,Arizona Cardinals / 2nd / 33rd pick / 2019,MurpBy00
83.0,Jalen Nailor,25.0,WR,9,3.0,190.0,6-0,Michigan St.,3/2/1999,2,,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
75.0,Brian O'Neill,29.0,T,9,9.0,310.0,6-7,Pittsburgh,9/15/1995,6,,Minnesota Vikings / 2nd / 62nd pick / 2018,ONeiBr00
84.0,Josh Oliver,27.0,TE,9,9.0,259.0,6-5,San Jose St.,3/21/1997,5,,Jacksonville Jaguars / 3rd / 69th pick / 2019,OlivJo00
0.0,Ivan Pace,24.0,LB,7,7.0,231.0,5-10,Miami (OH)Cincinnati,12/16/2000,1,,,PaceIv00
97.0,Harrison Phillips,28.0,DL,9,9.0,307.0,6-3,Stanford,1/25/1996,6,,Buffalo Bills / 3rd / 96th pick / 2018,PhilHa00
4.0,Brandon Powell,29.0,WR,9,1.0,181.0,5-8,Florida,9/12/1995,6,,,PoweBr00
76.0,David Quessenberry,34.0,T,9,0.0,310.0,6-5,San Jose St.,8/24/1990,7,,Houston Texans / 6th / 176th pick / 2013,QuesDa00
61.0,Jalen Redmond,25.0,DL,6,0.0,291.0,6-2,Oklahoma,3/12/1999,1,,,RedmJa01
98.0,Bo Richter,24.0,OLB,6,0.0,248.0,6-1,Air Force,8/13/2000,Rook,,,RichBo01
66.0,Dalton Risner,29.0,G,2,0.0,312.0,6-5,Kansas St.,7/13/1995,5,,Denver Broncos / 2nd / 41st pick / 2019,RisnDa00
,Cam Robinson,29.0,OT,2,2.0,335.0,6-6,Alabama,10/9/1995,7,,Jacksonville Jaguars / 2nd / 34th pick / 2017,RobiCa00
50.0,Levi Drake Rodriguez,24.0,DL,1,0.0,306.0,6-2,Southwestern Assemblies of GodTexas A&M-Commerce,8/4/2000,Rook,,Minnesota Vikings / 7th / 232nd pick / 2024,RodrLe00
,John Parker Romo,27.0,K,1,0.0,188.0,5-11,Central ArkansasTulsaVirginia Tech,8/27/1997,1,,,RomoJo00
78.0,Walter Rouse,23.0,T,0,0.0,313.0,6-6,StanfordOklahoma,3/9/2001,Rook,,Minnesota Vikings / 6th / 177th pick / 2024,RousWa00
19.0,Brett Rypien,28.0,QB,0,0.0,202.0,6-2,Boise St.,7/9/1996,4,,,RypiBr00
11.0,Trent Sherfield,28.0,WR,9,0.0,206.0,6-1,Vanderbilt,2/25/1996,6,,,SherTr00
22.0,Harrison Smith,35.0,S,9,9.0,211.0,6-2,Notre Dame,2/2/1989,12,,Minnesota Vikings / 1st / 29th pick / 2012,SmitHa00
99.0,Jerry Tillery,28.0,DL,9,8.0,295.0,6-6,Notre Dame,10/8/1996,5,,Los Angeles Chargers / 1st / 28th pick / 2019,TillJe00
15.0,Dallas Turner,21.0,OLB,8,0.0,247.0,6-3,Alabama,2/2/2003,Rook,,Minnesota Vikings / 1st / 17th pick / 2024,TurnDa01
43.0,Andrew Van Ginkel,29.0,OLB,9,9.0,242.0,6-4,Wisconsin,7/1/1995,5,,Miami Dolphins / 5th / 151st pick / 2019,VanGAn00
20.0,Jay Ward,24.0,S,9,0.0,188.0,6-1,LSU,7/13/2000,1,,Minnesota Vikings / 4th / 134th pick / 2023,WardJa00
52.0,Jihad Ward,30.0,OLB,9,0.0,285.0,6-5,Illinois,5/11/1994,8,,Oakland Raiders / 2nd / 44th pick / 2016,WardJi02
17.0,Ryan Wright,24.0,P,9,0.0,245.0,6-3,Tulane,6/1/2000,2,,,WrigRy00
59.0,Gabriel Murphy (IRD),,OLB,0,0.0,247.0,6-2,UCLA,,Rook,,,MurpGa00
5.0,Mekhi Blackmon (IR),25.0,CB,0,0.0,178.0,5-11,San MateoColoradoUSC,3/18/1999,1,,Minnesota Vikings / 3rd / 102nd pick / 2023,BlacMe00
71.0,Christian Darrisaw (IR),25.0,T,7,7.0,315.0,6-5,Virginia Tech,6/2/1999,3,,Minnesota Vikings / 1st / 23rd pick / 2021,DarrCh00
42.0,Andrew DePaola (IR),37.0,LS,8,0.0,229.0,6-1,Rutgers,7/28/1987,10,,,DePaAn00
63.0,Jeremy Flax (IR),,OL,0,0.0,343.0,6-5,Kentucky,,Rook,,,FlaxJe00
45.0,Jordan Kunaszyk (IR),28.0,LB,0,0.0,235.0,6-3,California,10/15/1996,5,,,KunaJo00
9.0,J.J. McCarthy (IR),21.0,QB,0,0.0,219.0,6-3,Michigan,1/20/2003,Rook,,Minnesota Vikings / 1st / 10th pick / 2024,McCaJJ00
34.0,Nick Muse (IR),26.0,TE,2,0.0,252.0,6-5,William & MarySouth Carolina,11/25/1998,2,,Minnesota Vikings / 7th / 227th pick / 2022,MuseNi00
16.0,Will Reichard (IR),23.0,K,8,0.0,187.0,6-1,Alabama,1/9/2001,Rook,,Minnesota Vikings / 6th / 203rd pick / 2024,ReicWi00
94.0,Taki Taimani (IR),25.0,DL,7,0.0,309.0,6-1,WashingtonOregon,10/6/1999,Rook,,,TaimTa00
36.0,NaJee Thompson (IR),24.0,CB,0,0.0,205.0,5-11,Georgia Southern,7/7/2000,1,,,ThomNa00
,Team Total,27.6,,9,,242.9,6-1.9,,,4.5,,,-9999
