No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
20.0,DeAundre Alford,27.0,CB,10,7.0,177.0,5-11,Tusculum,11/5/1997,2,,,AlfoDe00
25.0,Tyler Allgeier,24.0,RB,11,0.0,220.0,5-11,BYU,4/15/2000,2,,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00
44.0,Troy Andersen,25.0,LB,5,3.0,239.0,6-4,Montana St.,4/23/1999,2,,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00
3.0,Jessie Bates III,27.0,S,11,11.0,200.0,6-1,Wake Forest,2/26/1997,6,,Cincinnati Bengals / 2nd / 54th pick / 2018,BateJe00
65.0,Matthew Bergeron,24.0,OL,11,11.0,323.0,6-5,Syracuse,2/26/2000,1,,Atlanta Falcons / 2nd / 38th pick / 2023,BergMa00
40.0,JD Bertrand,24.0,LB,8,0.0,233.0,6-1,Notre Dame,5/5/2000,Rook,,Atlanta Falcons / 5th / 143rd pick / 2024,BertJD00
35.0,Natrone Brooks,25.0,CB,4,0.0,176.0,5-11,Copiah-Lincoln CCSouthern Miss,12/11/1999,1,,,BrooNa01
0.0,Lorenzo Carter,29.0,OLB,7,5.0,264.0,6-5,Georgia,12/10/1995,6,,New York Giants / 3rd / 66th pick / 2018,CartLo01
18.0,Kirk Cousins,36.0,QB,11,11.0,205.0,6-3,Michigan St.,8/19/1988,12,,Washington Redskins / 4th / 102nd pick / 2012,CousKi00
67.0,Drew Dalman,26.0,OL,3,3.0,305.0,6-3,Stanford,10/15/1998,3,,Atlanta Falcons / 4th / 114th pick / 2021,DalmDr00
54.0,Brandon Dorlus,23.0,DT,1,0.0,290.0,6-3,Oregon,3/22/2001,Rook,,Atlanta Falcons / 4th / 109th pick / 2024,DorlBr00
85.0,Ross Dwelley,29.0,TE,11,0.0,235.0,6-5,San Diego,1/26/1995,6,,,DwelRo00
17.0,Arnold Ebiketie,25.0,OLB,11,2.0,250.0,6-2,TemplePenn St.,1/23/1999,2,,Atlanta Falcons / 2nd / 38th pick / 2022,EbikAr00
55.0,Kaden Elliss,29.0,LB,11,11.0,238.0,6-2,Idaho,7/10/1995,5,,New Orleans Saints / 7th / 244th pick / 2019,ElliKa00
43.0,Rashaan Evans,29.0,LB,2,0.0,232.0,6-2,Alabama,11/8/1995,6,,Tennessee Titans / 1st / 22nd pick / 2018,EvanRa01
99.0,Eddie Goldman,30.0,DL,11,4.0,325.0,6-3,Florida St.,1/6/1994,9,,Chicago Bears / 2nd / 39th pick / 2015,GoldEd00
27.0,Richie Grant,27.0,S,11,1.0,204.0,6-0,Central Florida,11/9/1997,3,,Atlanta Falcons / 2nd / 40th pick / 2021,GranRi00
56.0,Jovaughn Gwyn,25.0,OL,1,0.0,301.0,6-2,South Carolina,3/18/1999,1,,Atlanta Falcons / 7th / 225th pick / 2023,GwynJo00
33.0,Antonio Hamilton,31.0,CB,7,0.0,188.0,6-0,South Carolina St.,1/24/1993,8,,,HamiAn01
96.0,Zach Harrison,23.0,DL,11,0.0,274.0,6-5,Ohio St.,8/14/2001,1,,Atlanta Falcons / 3rd / 75th pick / 2023,HarrZa00
68.0,Kyle Hinton,26.0,OL,11,0.0,295.0,6-2,Washburn,2/27/1998,2,,Minnesota Vikings / 7th / 253rd pick / 2020,HintKy00
12.0,KhaDarel Hodge,29.0,WR,11,0.0,208.0,6-2,Alcorn St.Hinds CCPrairie View A&M,1/3/1995,6,,,HodgKh00
21.0,Mike Hughes,27.0,CB,10,10.0,191.0,5-10,North CarolinaCentral Florida,2/11/1997,6,,Minnesota Vikings / 1st / 30th pick / 2018,HughMi00
97.0,Grady Jarrett,31.0,DL,11,11.0,288.0,6-0,Clemson,4/28/1993,9,,Atlanta Falcons / 5th / 137th pick / 2015,JarrGr00
15.0,Matt Judon,32.0,OLB,11,10.0,275.0,6-3,Grand Valley St.,8/15/1992,8,,Baltimore Ravens / 5th / 146th pick / 2016,JudoMa00
,Kevin King,29.0,CB,11,1.0,200.0,6-3,Washington,5/5/1995,7,,Green Bay Packers / 2nd / 33rd pick / 2017,KingKe01
6.0,Younghoe Koo,30.0,K,11,0.0,193.0,5-10,Georgia Southern,8/3/1994,7,,,KooxYo00
53.0,Nathan Landman,26.0,LB,7,7.0,238.0,6-3,Colorado,11/19/1998,2,,,LandNa01
63.0,Chris Lindstrom,27.0,G,11,11.0,307.0,6-3,Boston Col.,2/28/1997,5,,Atlanta Falcons / 1st / 14th pick / 2019,LindCh00
5.0,Drake London,23.0,WR,11,11.0,213.0,6-4,USC,7/24/2001,2,,Atlanta Falcons / 1st / 8th pick / 2022,LondDr00
51.0,DeAngelo Malone,25.0,OLB,11,0.0,246.0,6-3,Western Kentucky,7/12/1999,2,,Atlanta Falcons / 3rd / 82nd pick / 2022,MaloDe00
70.0,Jake Matthews,32.0,T,11,11.0,309.0,6-5,Texas A&M,2/11/1992,10,,Atlanta Falcons / 1st / 6th pick / 2014,MattJa00
30.0,Jase McClellan,22.0,RB,2,0.0,212.0,5-11,Alabama,6/25/2002,Rook,,Atlanta Falcons / 6th / 186th pick / 2024,McClJa05
34.0,Ray-Ray McCloud,28.0,WR,11,10.0,190.0,5-9,Clemson,10/15/1996,6,,Buffalo Bills / 6th / 187th pick / 2018,McClRa00
49.0,Liam McCullough,27.0,LS,11,0.0,247.0,6-2,Ohio St.,6/5/1997,2,,,McCuLi00
76.0,Kaleb McGary,29.0,T,10,10.0,306.0,6-6,Washington,2/22/1995,5,,Atlanta Falcons / 1st / 31st pick / 2019,McGaKa00
1.0,Darnell Mooney,27.0,WR,11,11.0,177.0,5-11,Tulane,10/29/1997,4,,Chicago Bears / 5th / 173rd pick / 2020,MoonDa00
64.0,Ryan Neuzil,27.0,OL,11,8.0,301.0,6-3,Appalachian St.,7/31/1997,2,,,NeuzRy00
77.0,Storm Norton,30.0,OL,11,1.0,317.0,6-7,Toledo,5/16/1994,6,,,NortSt00
90.0,David Onyemata,32.0,DL,11,11.0,300.0,6-4,Manitoba,11/13/1992,8,,New Orleans Saints / 4th / 120th pick / 2016,OnyeDa00
,Brandon Parker,29.0,OT,0,0.0,320.0,6-8,North Carolina A&T,10/21/1995,6,,Oakland Raiders / 3rd / 65th pick / 2018,ParkBr01
9.0,Michael Penix,24.0,QB,2,0.0,216.0,6-2,IndianaWashington,5/8/2000,Rook,,Atlanta Falcons / 1st / 8th pick / 2024,PeniMi00
22.0,Clark Phillips,23.0,CB,11,1.0,184.0,5-9,Utah,12/19/2001,1,,Atlanta Falcons / 4th / 113th pick / 2023,PhilCl00
13.0,Bradley Pinion,30.0,P,11,0.0,255.0,6-5,Clemson,6/1/1994,9,,San Francisco 49ers / 5th / 165th pick / 2015,PiniBr00
8.0,Kyle Pitts,24.0,TE,11,11.0,246.0,6-6,Florida,10/6/2000,3,,Atlanta Falcons / 1st / 4th pick / 2021,PittKy00
7.0,Bijan Robinson,22.0,RB,11,11.0,215.0,5-11,Texas,1/30/2002,1,,Atlanta Falcons / 1st / 8th pick / 2023,RobiBi01
31.0,Justin Simmons,31.0,S,10,10.0,202.0,6-2,Boston Col.,11/19/1993,8,,Denver Broncos / 3rd / 98th pick / 2016,SimmJu00
93.0,Kentavius Street,28.0,DL,7,0.0,287.0,6-2,North Carolina St.,5/8/1996,5,,San Francisco 49ers / 4th / 128th pick / 2018,StreKe00
24.0,AJ Terrell,26.0,CB,11,11.0,194.0,6-1,Clemson,9/23/1998,4,,Atlanta Falcons / 1st / 16th pick / 2020,TerrAJ00
82.0,Casey Washington,23.0,WR,7,0.0,200.0,6-0,Illinois,3/6/2001,Rook,,Atlanta Falcons / 6th / 187th pick / 2024,WashCa01
71.0,Elijah Wilkinson,29.0,OL,2,0.0,314.0,6-6,Massachusetts,2/10/1995,7,,,WilkEl00
26.0,Avery Williams,26.0,RB,11,0.0,195.0,5-9,Boise St.,7/15/1998,3,,Atlanta Falcons / 5th / 183rd pick / 2021,WillAv02
89.0,Charlie Woerner,27.0,TE,10,1.0,241.0,6-5,Georgia,10/16/1997,4,,San Francisco 49ers / 6th / 190th pick / 2020,WoerCh00
39.0,Robert Burns (PUP),26.0,RB,0,0.0,222.0,5-11,Connecticut,9/25/1998,Rook,,,BurnRo01
23.0,DeMarcco Hellams (IRD),24.0,S,0,0.0,203.0,6-1,Alabama,6/5/2000,1,,Atlanta Falcons / 7th / 224th pick / 2023,HellDe00
29.0,Micah Abernathy (IR),27.0,S,6,0.0,195.0,6-0,Tennessee,2/10/1997,2,,,AberMi00
95.0,Ta'Quon Graham (IR),26.0,DL,10,0.0,307.0,6-4,Texas,12/1/1998,3,,Atlanta Falcons / 5th / 148th pick / 2021,GrahTa00
36.0,Harrison Hand (IR),26.0,DB,0,0.0,185.0,5-11,BaylorTemple,11/12/1998,4,,Minnesota Vikings / 5th / 169th pick / 2020,HandHa00
14.0,Rondale Moore (IR),24.0,WR,0,0.0,181.0,5-7,Purdue,6/9/2000,3,,Arizona Cardinals / 2nd / 49th pick / 2021,MoorRo02
98.0,Ruke Orhorhoro (IR),23.0,DT,4,0.0,294.0,6-4,Clemson,10/13/2001,Rook,,Atlanta Falcons / 2nd / 35th pick / 2024,OrhoRu00
50.0,James Smith-Williams (IR),27.0,DL,10,5.0,265.0,6-3,North Carolina St.,7/29/1997,4,,Washington Football Team / 7th / 229th pick / 2020,SmitJa08
48.0,Bralen Trice (IR),23.0,OLB,0,0.0,245.0,6-3,Washington,2/26/2001,Rook,,Atlanta Falcons / 3rd / 74th pick / 2024,TricBr00
,Team Total,27.1,,11,,244.7,6-2.1,,,4.1,,,-9999
