Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-11,1,1,23.039,LAC,@,DEN,L 21-24,,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,31%,
2,2017,2017-09-17,2,2,23.045,LAC,,MIA,L 17-19,,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,33%,
3,2017,2017-09-24,3,3,23.052,LAC,,KAN,L 10-24,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,4,15%,
4,2017,2017-10-01,4,4,23.059,LAC,,PHI,L 24-26,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,30%,
5,2019,2019-11-10,9,10,25.099,ATL,@,NOR,W 26-9,,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,48%,
6,2019,2019-11-17,10,11,25.106,ATL,@,CAR,W 29-3,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,57%,
7,2019,2019-11-24,11,12,25.113,ATL,,TAM,L 22-35,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,29%,
8,2019,2019-11-28,12,13,25.117,ATL,,NOR,L 18-26,,,1,0.0,2,3,66.7,0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,33%,
9,2019,2019-12-08,13,14,25.127,ATL,,CAR,W 40-20,,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,0,0,0,0,0,1,3,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,16,47%,
10,2019,2019-12-15,14,15,25.134,ATL,@,SFO,W 29-22,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,30%,
