Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-23,3,3,23.263,LAR,,LAC,W 35-23,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,11,44%,
2,2018,2018-09-27,4,4,23.267,LAR,,MIN,W 38-31,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,24%,
3,2018,2018-10-07,5,5,23.277,LAR,@,SEA,W 33-31,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,41%,0,0%,2,7%,
4,2018,2018-10-14,6,6,23.284,LAR,@,DEN,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,5%,0,0%,3,11%,
5,2018,2018-10-21,7,7,23.291,LAR,@,SFO,W 39-10,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,13%,0,0%,16,53%,
6,2018,2018-10-28,8,8,23.298,LAR,,GNB,W 29-27,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,3%,0,0%,18,53%,
7,2018,2018-11-04,9,9,23.305,LAR,@,NOR,L 35-45,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,12,39%,
8,2018,2018-11-11,10,10,23.312,LAR,,SEA,W 36-31,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,10,33%,
9,2018,2018-11-19,11,11,23.320,LAR,,KAN,W 54-51,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,11%,0,0%,23,53%,
10,2018,2018-12-02,12,13,23.333,LAR,@,DET,W 30-16,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,19,61%,
11,2018,2018-12-09,13,14,23.340,LAR,@,CHI,L 6-15,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,11,46%,
12,2018,2018-12-16,14,15,23.347,LAR,,PHI,L 23-30,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,3%,0,0%,16,52%,
13,2018,2018-12-23,15,16,23.354,LAR,@,ARI,W 31-9,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,13%,0,0%,14,54%,
14,2018,2018-12-30,16,17,23.361,LAR,,SFO,W 48-32,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,25%,0,0%,14,45%,
15,2019,2019-09-08,1,1,24.248,CLE,,TEN,L 13-43,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,24,73%,
16,2019,2019-09-16,2,2,24.256,CLE,@,NYJ,W 23-3,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,20,77%,
17,2019,2019-09-22,3,3,24.262,CLE,,LAR,L 13-20,,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,15,63%,
18,2019,2019-09-29,4,4,24.269,CLE,@,BAL,W 40-25,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1%,0,0%,18,64%,
19,2019,2019-10-07,5,5,24.277,CLE,@,SFO,L 3-31,,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,18,64%,
20,2019,2019-10-13,6,6,24.283,CLE,,SEA,L 28-32,,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,16,62%,
21,2019,2019-10-27,7,8,24.297,CLE,@,NWE,L 13-27,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,1,1%,21,68%,
22,2019,2019-11-03,8,9,24.304,CLE,@,DEN,L 19-24,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,11%,0,0%,18,67%,
23,2019,2019-11-10,9,10,24.311,CLE,,BUF,W 19-16,,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,7,10%,0,0%,15,63%,
24,2019,2019-11-14,10,11,24.315,CLE,,PIT,W 21-7,,2,1,41,41.00,0,50.0%,20.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,18,69%,
25,2019,2019-11-24,11,12,24.325,CLE,,MIA,W 41-24,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,9,12%,0,0%,18,60%,
26,2019,2019-12-01,12,13,24.332,CLE,@,PIT,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,20,30%,0,0%,12,50%,
27,2019,2019-12-08,13,14,24.339,CLE,,CIN,W 27-19,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,13,24%,0,0%,6,23%,
