Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
16,2017,2017-12-31,,17,,GNB,@,DET,L 11-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2018,2018-09-09,1,1,23.127,GNB,,CHI,W 24-23,*,0,0,,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,5,18%,
18,2018,2018-09-16,2,2,23.134,GNB,,MIN,T 29-29,*,0,0,,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,36%,0,0%,
19,2018,2018-09-23,,3,,GNB,@,WAS,L 17-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2018,2018-09-30,,4,,GNB,,BUF,W 22-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2018,2018-10-07,5,5,23.155,GNB,@,DET,L 23-31,*,1,0,0.00,0,0.0,4,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0%,51,82%,13,46%,
22,2018,2018-10-15,6,6,23.163,GNB,,SFO,W 33-30,*,0,0,,0,0.0,4,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0%,57,100%,13,39%,
23,2018,2018-10-28,7,8,23.176,GNB,@,LAR,L 27-29,*,0,0,,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,76,97%,14,41%,
24,2018,2018-11-04,8,9,23.183,GNB,@,NWE,L 17-31,*,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,34%,4,15%,
25,2018,2018-11-11,,10,,GNB,,MIA,W 31-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2018,2018-11-15,,11,,GNB,@,SEA,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2018,2018-11-25,,12,,GNB,@,MIN,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2018,2018-12-02,,13,,GNB,,ARI,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2018,2018-12-09,,14,,GNB,,ATL,W 34-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
30,2018,2018-12-16,,15,,GNB,@,CHI,L 17-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
31,2018,2018-12-23,,16,,GNB,@,NYJ,W 44-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
32,2018,2018-12-30,,17,,GNB,,DET,L 0-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
33,2019,2019-09-05,1,1,24.123,GNB,@,CHI,W 10-3,,0,0,,0,1.0,5,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,41,58%,1,4%,
34,2019,2019-09-15,2,2,24.133,GNB,,MIN,W 21-16,*,0,0,,0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,64,98%,2,7%,
35,2019,2019-09-22,3,3,24.140,GNB,,DEN,W 27-16,*,0,0,,0,0.0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,93%,1,4%,
