Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1,2023,2023-09-10,1,1,,CHI,,GNB,L 20-38,Did Not Play
2,2023,2023-09-17,2,2,,CHI,@,TAM,L 17-27,Did Not Play
3,2023,2023-09-24,3,3,,CHI,@,KAN,L 10-41,Did Not Play
4,2023,2023-10-01,4,4,,CHI,,DEN,L 28-31,Did Not Play
5,2023,2023-10-05,5,5,,CHI,@,WAS,W 40-20,Did Not Play
6,2023,2023-10-15,6,6,,CHI,,MIN,L 13-19,Did Not Play
7,2023,2023-10-22,7,7,,CHI,,LVR,W 30-12,Did Not Play
8,2023,2023-10-29,8,8,,CHI,@,LAC,L 13-30,Did Not Play
9,2023,2023-11-05,9,9,,CHI,@,NOR,L 17-24,Did Not Play
10,2023,2023-11-09,10,10,,CHI,,CAR,W 16-13,Did Not Play
11,2023,2023-11-19,11,11,,CHI,@,DET,L 26-31,Did Not Play
12,2023,2023-11-27,12,12,,CHI,@,MIN,W 12-10,Did Not Play
13,2023,2023-12-10,13,14,,CHI,,DET,W 28-13,Did Not Play
14,2023,2023-12-17,14,15,,CHI,@,CLE,L 17-20,Did Not Play
15,2023,2023-12-24,15,16,,CHI,,ARI,W 27-16,Did Not Play
16,2023,2023-12-31,16,17,,CHI,,ATL,W 37-17,Did Not Play
17,2023,2024-01-07,17,18,,CHI,@,GNB,L 9-17,Did Not Play
18,2024,2024-09-08,1,1,,ATL,,PIT,L 10-18,Did Not Play
19,2024,2024-09-16,2,2,,ATL,@,PHI,W 22-21,Did Not Play
20,2024,2024-09-22,3,3,,ATL,,KAN,L 17-22,Did Not Play
21,2024,2024-09-29,4,4,,ATL,,NOR,W 26-24,Did Not Play
22,2024,2024-10-03,5,5,,ATL,,TAM,W 36-30,Did Not Play
23,2024,2024-10-13,6,6,,ATL,@,CAR,W 38-20,Did Not Play
24,2024,2024-10-20,7,7,,ATL,,SEA,L 14-34,Did Not Play
25,2024,2024-10-27,8,8,,ATL,@,TAM,W 31-26,Did Not Play
26,2024,2024-11-03,9,9,,ATL,,DAL,W 27-21,Did Not Play
27,2024,2024-11-10,10,10,,ATL,@,NOR,L 17-20,Did Not Play
28,2024,2024-11-17,11,11,,ATL,@,DEN,L 6-38,Did Not Play
