Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,ATL,,PIT,L 10-18,Did Not Play
2.0,2024.0,2024-09-16,2.0,2.0,,ATL,@,PHI,W 22-21,Did Not Play
3.0,2024.0,2024-09-22,3.0,3.0,,ATL,,KAN,L 17-22,Did Not Play
4.0,2024.0,2024-09-29,4.0,4.0,,ATL,,NOR,W 26-24,Did Not Play
5.0,2024.0,2024-10-03,5.0,5.0,,ATL,,TAM,W 36-30,Did Not Play
6.0,2024.0,2024-10-13,6.0,6.0,,ATL,@,CAR,W 38-20,Did Not Play
7.0,2024.0,2024-10-20,7.0,7.0,,ATL,,SEA,L 14-34,Did Not Play
8.0,2024.0,2024-10-27,8.0,8.0,,ATL,@,TAM,W 31-26,Did Not Play
9.0,2024.0,2024-11-03,9.0,9.0,,ATL,,DAL,W 27-21,Did Not Play
10.0,2024.0,2024-11-10,10.0,10.0,,ATL,@,NOR,L 17-20,Did Not Play
11.0,2024.0,2024-11-17,11.0,11.0,,ATL,@,DEN,L 6-38,Did Not Play
