Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,,1,,OAK,@,NOR,W 35-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2016,2016-09-18,,2,,OAK,,ATL,L 28-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2016,2016-09-25,,3,,OAK,@,TEN,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2016,2016-10-02,,4,,OAK,@,BAL,W 28-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2016,2016-10-09,5,5,23.259,OAK,,SDG,W 34-31,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,8,27%,
6,2016,2016-10-16,,6,,OAK,,KAN,L 10-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2016,2016-10-23,7,7,23.273,OAK,@,JAX,W 33-16,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,39%,
8,2016,2016-10-30,,8,,OAK,@,TAM,W 30-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2016,2016-11-06,9,9,23.287,OAK,,DEN,W 30-20,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,12,38%,
10,2016,2016-11-21,,11,,OAK,,HOU,W 27-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2016,2016-11-27,11,12,23.308,OAK,,CAR,W 35-32,,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,7,22%,
12,2016,2016-12-04,,13,,OAK,,BUF,W 38-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2016,2016-12-08,,14,,OAK,@,KAN,L 13-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2016,2016-12-18,,15,,OAK,@,SDG,W 19-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2016,2016-12-24,,16,,OAK,,IND,W 33-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2016,2017-01-01,,17,,OAK,@,DEN,L 6-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2017,2017-09-10,1,1,24.229,OAK,@,TEN,W 26-16,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,50%,
18,2017,2017-09-17,2,2,24.236,OAK,,NYJ,W 45-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,50%,
19,2017,2017-09-24,3,3,24.243,OAK,@,WAS,L 10-27,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,14,48%,
20,2017,2017-10-01,4,4,24.250,OAK,@,DEN,L 10-16,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,54%,
21,2017,2017-10-08,5,5,24.257,OAK,,BAL,L 17-30,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,1,4%,
22,2017,2017-10-15,,6,,OAK,,LAC,L 16-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
23,2017,2017-10-19,,7,,OAK,,KAN,W 31-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
24,2017,2017-10-29,,8,,OAK,@,BUF,L 14-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
25,2017,2017-11-05,,9,,OAK,@,MIA,W 27-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
26,2017,2017-11-19,,11,,OAK,,NWE,L 8-33,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
27,2017,2017-11-26,,12,,OAK,,DEN,W 21-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
28,2017,2017-12-03,,13,,OAK,,NYG,W 24-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
29,2017,2017-12-10,,14,,OAK,@,KAN,L 15-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
30,2017,2017-12-17,14,15,24.327,OAK,,DAL,L 17-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,7,29%,
31,2017,2017-12-25,15,16,24.335,OAK,@,PHI,L 10-19,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,7%,11,41%,
32,2017,2017-12-31,16,17,24.341,OAK,@,LAC,L 10-30,,0,0,,0,0.0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,63%,11,50%,
33,2018,2018-09-09,1,1,25.228,NYG,,JAX,L 15-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,69%,
34,2018,2018-09-16,2,2,25.235,NYG,@,DAL,L 13-20,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,69%,
35,2018,2018-09-23,3,3,25.242,NYG,@,HOU,W 27-22,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,1,4%,
36,2018,2018-09-30,,4,,NYG,,NOR,L 18-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2018,2018-10-07,5,5,25.256,NYG,@,CAR,L 31-33,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,56%,
38,2018,2018-10-11,6,6,25.260,NYG,,PHI,L 13-34,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,10,31%,
39,2018,2018-10-22,7,7,25.271,NYG,@,ATL,L 20-23,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,64%,
40,2018,2018-10-28,8,8,25.277,NYG,,WAS,L 13-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,66%,
41,2018,2018-11-12,9,10,25.292,NYG,@,SFO,W 27-23,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,63%,
42,2018,2018-11-18,10,11,25.298,NYG,,TAM,W 38-35,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,76%,
43,2018,2018-11-25,11,12,25.305,NYG,@,PHI,L 22-25,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,81%,
44,2018,2018-12-02,12,13,25.312,NYG,,CHI,W 30-27,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,30,81%,
45,2018,2018-12-09,13,14,25.319,NYG,@,WAS,W 40-16,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,74%,
46,2018,2018-12-16,14,15,25.326,NYG,,TEN,L 0-17,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,86%,
47,2018,2018-12-23,,16,,NYG,@,IND,L 27-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
48,2018,2018-12-30,,17,,NYG,,DAL,L 35-36,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
49,2019,2019-09-08,1,1,26.227,NYG,@,DAL,L 17-35,*,0,0,,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,53%,13,50%,
50,2019,2019-09-15,2,2,26.234,NYG,,BUF,L 14-28,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,25,89%,
51,2019,2019-09-22,3,3,26.241,NYG,@,TAM,W 32-31,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,30,88%,
52,2019,2019-09-29,4,4,26.248,NYG,,WAS,W 24-3,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,75%,
53,2019,2019-10-06,5,5,26.255,NYG,,MIN,L 10-28,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,88%,
54,2019,2019-10-10,6,6,26.259,NYG,@,NWE,L 14-35,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,23,88%,
55,2019,2019-10-20,7,7,26.269,NYG,,ARI,L 21-27,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,14%,23,79%,
56,2019,2019-10-27,8,8,26.276,NYG,@,DET,L 26-31,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,23,88%,
57,2019,2019-11-04,9,9,26.284,NYG,,DAL,L 18-37,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,81%,
58,2019,2019-11-10,10,10,26.290,NYG,@,NYJ,L 27-34,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,29,88%,
59,2019,2019-11-24,11,12,26.304,NYG,@,CHI,L 14-19,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,22,81%,
60,2019,2019-12-01,12,13,26.311,NYG,,GNB,L 13-31,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,19,86%,
61,2019,2019-12-09,13,14,26.319,NYG,@,PHI,L 17-23,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,2%,30,91%,
62,2019,2019-12-15,14,15,26.325,NYG,,MIA,W 36-20,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,2,3%,24,80%,
63,2019,2019-12-22,15,16,26.332,NYG,@,WAS,W 41-35,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,13%,28,83%,
64,2019,2019-12-29,16,17,26.339,NYG,,PHI,L 17-34,*,0,0,,0,0.0,3,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0%,74,100%,20,59%,
65,2020,2020-09-10,1,1,27.230,KAN,,HOU,W 34-20,,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,64%,16,64%,
66,2020,2020-09-20,2,2,27.240,KAN,@,LAC,W 23-20,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,2,2%,7,25%,
67,2020,2020-09-28,3,3,27.248,KAN,@,BAL,W 34-20,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,18,72%,
68,2020,2020-10-05,4,4,27.255,KAN,,NWE,W 26-10,,0,0,,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,25,33%,18,78%,
69,2020,2020-10-11,5,5,27.261,KAN,,LVR,L 32-40,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,14%,28,88%,
70,2020,2020-10-19,6,6,27.269,KAN,@,BUF,W 26-17,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,20,80%,
71,2020,2020-10-25,7,7,27.275,KAN,@,DEN,W 43-16,,0,0,,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,13,17%,22,73%,
72,2020,2020-11-01,8,8,27.282,KAN,,NYJ,W 35-9,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,3,5%,23,79%,
73,2020,2020-11-08,9,9,27.289,KAN,,CAR,W 33-31,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,55%,
74,2020,2020-11-22,10,11,27.303,KAN,@,LVR,W 35-31,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,21,81%,
75,2020,2020-11-29,11,12,27.310,KAN,@,TAM,W 27-24,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,24,83%,
76,2020,2020-12-06,12,13,27.317,KAN,,DEN,W 22-16,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,73%,
77,2020,2020-12-13,13,14,27.324,KAN,@,MIA,W 33-27,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,29,85%,
78,2020,2020-12-20,14,15,27.331,KAN,@,NOR,W 32-29,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,30,88%,
79,2020,2020-12-27,15,16,27.338,KAN,,ATL,W 17-14,,,,,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,19,86%,
80,2020,2021-01-03,16,17,27.345,KAN,,LAC,L 21-38,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,61%,19,86%,
81,2021,2021-09-12,1,1,28.231,ARI,@,TEN,W 38-13,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,17,63%,
82,2021,2021-09-19,2,2,28.238,ARI,,MIN,W 34-33,,0,0,,0,0.0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,31,51%,13,36%,
83,2021,2021-09-26,3,3,28.245,ARI,@,JAX,W 31-19,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,21,73%,
84,2021,2021-10-03,4,4,28.252,ARI,@,LAR,W 37-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,16,24%,5,18%,
85,2021,2021-10-10,5,5,28.259,ARI,,SFO,W 17-10,*,0,0,,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,97%,2,11%,
86,2021,2021-10-17,6,6,28.266,ARI,@,CLE,W 37-14,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,61%,
87,2021,2021-10-24,7,7,28.273,ARI,,HOU,W 31-5,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,21%,18,69%,
88,2021,2021-10-28,8,8,28.277,ARI,,GNB,L 21-24,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,68%,
89,2021,2021-11-07,9,9,28.287,ARI,@,SFO,W 31-17,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,62%,
90,2021,2021-11-14,10,10,28.294,ARI,,CAR,L 10-34,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,68%,
91,2021,2021-11-21,11,11,28.301,ARI,@,SEA,W 23-13,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,67%,
92,2021,2021-12-05,12,13,28.315,ARI,@,CHI,W 33-22,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,17%,15,63%,
93,2021,2021-12-13,13,14,28.323,ARI,,LAR,L 23-30,,0,0,,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,16,59%,
94,2021,2021-12-19,14,15,28.329,ARI,@,DET,L 12-30,,0,0,,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,38%,4,16%,
95,2021,2021-12-25,15,16,28.335,ARI,,IND,L 16-22,*,0,0,,0,0.0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,57,81%,3,13%,
96,2021,2022-01-02,16,17,28.343,ARI,@,DAL,W 25-22,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,61%,5,19%,
97,2021,2022-01-09,17,18,28.350,ARI,,SEA,L 30-38,,0,0,,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,51,88%,9,28%,
98,2022,2022-09-11,1,1,,ARI,,KAN,L 21-44,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
