Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
32,2023,2023-12-24,15,16,22.153,ATL,,IND,W 29-10,*,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,77%,0,0%,0,0%,
33,2023,2023-12-31,16,17,22.160,ATL,@,CHI,L 17-37,*,10,4,56,14.00,0,40.0%,5.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,83%,0,0%,0,0%,
34,2023,2024-01-07,17,18,22.167,ATL,@,NOR,L 17-48,*,9,4,41,10.25,0,44.4%,4.56,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,75%,0,0%,0,0%,
35,2024,2024-09-08,1,1,23.046,ATL,,PIT,L 10-18,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
36,2024,2024-09-16,2,2,23.054,ATL,@,PHI,W 22-21,*,7,6,54,9.00,1,85.7%,7.71,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,97%,0,0%,0,0%,
37,2024,2024-09-22,3,3,23.060,ATL,,KAN,L 17-22,*,9,6,67,11.17,1,66.7%,7.44,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
38,2024,2024-09-29,4,4,23.067,ATL,,NOR,W 26-24,*,12,6,64,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,98%,0,0%,0,0%,
39,2024,2024-10-03,5,5,23.071,ATL,,TAM,W 36-30,*,13,12,154,12.83,1,92.3%,11.85,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,84%,0,0%,0,0%,
40,2024,2024-10-13,6,6,23.081,ATL,@,CAR,W 38-20,*,10,6,74,12.33,1,60.0%,7.40,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,96%,0,0%,0,0%,
41,2024,2024-10-20,7,7,23.088,ATL,,SEA,L 14-34,*,8,6,63,10.50,1,75.0%,7.88,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,89%,0,0%,0,0%,
42,2024,2024-10-27,8,8,23.095,ATL,@,TAM,W 31-26,*,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
43,2024,2024-11-03,9,9,23.102,ATL,,DAL,W 27-21,*,2,2,27,13.50,1,100.0%,13.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,
44,2024,2024-11-10,10,10,23.109,ATL,@,NOR,L 17-20,*,13,8,97,12.13,0,61.5%,7.46,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,78,100%,0,0%,0,0%,
45,2024,2024-11-17,11,11,23.116,ATL,@,DEN,L 6-38,*,7,3,61,20.33,0,42.9%,8.71,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,76%,0,0%,0,0%,
