Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-10-15,6,6,23.262,SFO,@,GNB,L 30-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,39%,
2,2018,2018-10-21,7,7,23.268,SFO,,LAR,L 10-39,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,15,50%,
3,2018,2018-10-28,8,8,23.275,SFO,@,ARI,L 15-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,54%,
4,2018,2018-11-01,9,9,23.279,SFO,,OAK,W 34-3,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,24%,0,0%,13,48%,
5,2018,2018-11-12,10,10,23.290,SFO,,NYG,L 23-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,37%,
6,2018,2018-11-25,11,12,23.303,SFO,@,TAM,L 9-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,43%,
7,2018,2018-12-02,12,13,23.310,SFO,@,SEA,L 16-43,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,12,40%,
8,2018,2018-12-09,13,14,23.317,SFO,,DEN,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,6%,0,0%,19,73%,
9,2018,2018-12-16,14,15,23.324,SFO,,SEA,W 26-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,22,65%,
10,2018,2018-12-23,15,16,23.331,SFO,,CHI,L 9-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,10,53%,
