Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,22.320,CHI,@,DET,W 27-23,,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,32%,0,0%,0,0%,
2,2020,2020-09-20,2,2,22.327,CHI,,NYG,W 17-13,*,3,3,36,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,39,60%,0,0%,0,0%,
3,2020,2020-09-27,3,3,22.334,CHI,@,ATL,W 30-26,,5,2,19,9.50,0,40.0%,3.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,62%,0,0%,0,0%,
4,2020,2020-10-04,4,4,22.341,CHI,,IND,L 11-19,,9,5,52,10.40,0,55.6%,5.78,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,74%,0,0%,1,4%,
5,2020,2020-10-08,5,5,22.345,CHI,,TAM,W 20-19,,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,65%,0,0%,0,0%,
6,2020,2020-10-18,6,6,22.355,CHI,@,CAR,W 23-16,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,
7,2020,2020-10-26,7,7,22.363,CHI,@,LAR,L 10-24,,7,3,40,13.33,0,42.9%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,81%,0,0%,0,0%,
8,2020,2020-11-01,8,8,23.003,CHI,,NOR,L 23-26,*,6,5,69,13.80,1,83.3%,11.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,
9,2020,2020-11-08,9,9,23.010,CHI,@,TEN,L 17-24,*,11,5,43,8.60,0,45.5%,3.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,87%,0,0%,1,3%,
10,2020,2020-11-16,10,10,23.018,CHI,,MIN,L 13-19,*,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,92%,0,0%,0,0%,
11,2020,2020-11-29,11,12,23.031,CHI,@,GNB,L 25-41,*,9,3,34,11.33,0,33.3%,3.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,1,4%,
12,2020,2020-12-06,12,13,23.038,CHI,,DET,L 30-34,*,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,81%,0,0%,1,3%,
13,2020,2020-12-13,13,14,23.045,CHI,,HOU,W 36-7,*,2,2,22,11.00,1,100.0%,11.00,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,
14,2020,2020-12-20,14,15,23.052,CHI,@,MIN,W 33-27,*,5,4,49,12.25,1,80.0%,9.80,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,
15,2020,2020-12-27,15,16,23.059,CHI,@,JAX,W 41-17,,7,4,39,9.75,0,57.1%,5.57,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,74%,0,0%,1,3%,
16,2020,2021-01-03,16,17,23.066,CHI,,GNB,L 16-35,*,13,11,93,8.45,0,84.6%,7.15,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,60%,0,0%,0,0%,
17,2021,2021-09-12,1,1,23.318,CHI,@,LAR,L 14-34,*,7,5,26,5.20,0,71.4%,3.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
18,2021,2021-09-19,2,2,23.325,CHI,,CIN,W 20-17,*,8,6,66,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,89%,0,0%,1,5%,
19,2021,2021-09-26,3,3,23.332,CHI,@,CLE,L 6-26,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,98%,0,0%,0,0%,
20,2021,2021-10-03,4,4,23.339,CHI,,DET,W 24-14,,7,5,125,25.00,0,71.4%,17.86,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,71%,0,0%,0,0%,
21,2021,2021-10-10,5,5,23.346,CHI,@,LVR,W 20-9,*,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,77%,0,0%,0,0%,
