Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
34,2022,2023-01-08,17,18,,ATL,,TAM,W 30-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2023,2023-09-10,1,1,22.339,ATL,,CAR,W 24-10,*,3,2,44,22.00,0,66.7%,14.67,0,0,,0,0,0,0.0,0,0,0,0,0,32,62%,0,0%,0,0%,
36,2023,2023-09-17,2,2,22.346,ATL,,GNB,W 25-24,*,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,57,70%,0,0%,0,0%,
37,2023,2023-09-24,3,3,22.353,ATL,@,DET,L 6-20,*,9,5,41,8.20,0,55.6%,4.56,1,-4,-4.00,0,0,0,0.0,0,0,0,0,0,52,78%,0,0%,0,0%,
38,2023,2023-10-01,4,4,22.360,ATL,@,JAX,L 7-23,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,0.0,0,0,0,0,0,37,64%,0,0%,0,0%,
39,2023,2023-10-08,5,5,23.002,ATL,,HOU,W 21-19,*,11,7,87,12.43,0,63.6%,7.91,0,0,,0,0,0,0.0,0,0,0,0,0,41,53%,0,0%,0,0%,
40,2023,2023-10-15,6,6,23.009,ATL,,WAS,L 16-24,,6,4,43,10.75,1,66.7%,7.17,0,0,,0,1,6,0.0,0,0,0,0,0,46,55%,0,0%,0,0%,
41,2023,2023-10-22,7,7,23.016,ATL,@,TAM,W 16-13,*,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,0.0,0,0,0,0,0,34,52%,0,0%,0,0%,
42,2023,2023-10-29,8,8,23.023,ATL,@,TEN,L 23-28,*,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,0.0,0,0,0,0,0,41,60%,0,0%,0,0%,
43,2023,2023-11-05,9,9,23.030,ATL,,MIN,L 28-31,*,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,0.0,0,0,0,0,0,39,57%,0,0%,0,0%,
44,2023,2023-11-12,10,10,23.037,ATL,@,ARI,L 23-25,*,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,50,70%,0,0%,0,0%,
45,2023,2023-11-26,11,12,23.051,ATL,,NOR,W 24-15,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0,0,0,0,31,50%,0,0%,0,0%,
46,2023,2023-12-03,12,13,23.058,ATL,@,NYJ,W 13-8,*,8,4,51,12.75,0,50.0%,6.38,0,0,,0,0,0,0.0,0,0,0,0,0,45,66%,0,0%,0,0%,
47,2023,2023-12-10,13,14,23.065,ATL,,TAM,L 25-29,*,6,3,57,19.00,1,50.0%,9.50,0,0,,0,1,6,0.0,0,0,0,0,0,61,85%,0,0%,0,0%,
48,2023,2023-12-17,14,15,23.072,ATL,@,CAR,L 7-9,*,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,0.0,0,0,0,0,0,34,65%,0,0%,0,0%,
49,2023,2023-12-24,15,16,23.079,ATL,,IND,W 29-10,*,4,3,49,16.33,1,75.0%,12.25,0,0,,0,1,6,0.0,0,0,0,0,0,46,72%,0,0%,0,0%,
50,2023,2023-12-31,16,17,23.086,ATL,@,CHI,L 17-37,*,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0,0.0,0,0,0,0,0,43,73%,0,0%,0,0%,
51,2023,2024-01-07,17,18,23.093,ATL,@,NOR,L 17-48,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,39,64%,0,0%,0,0%,
52,2024,2024-09-08,1,1,23.338,ATL,,PIT,L 10-18,*,3,3,26,8.67,1,100.0%,8.67,0,0,,0,1,6,0.0,0,0,0,0,0,54,96%,0,0%,0,0%,
53,2024,2024-09-16,2,2,23.346,ATL,@,PHI,W 22-21,*,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,45,74%,0,0%,0,0%,
54,2024,2024-09-22,3,3,23.352,ATL,,KAN,L 17-22,*,5,2,59,29.50,0,40.0%,11.80,0,0,,0,0,0,0.0,0,0,0,0,0,42,69%,0,0%,0,0%,
55,2024,2024-09-29,4,4,23.359,ATL,,NOR,W 26-24,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,38,68%,0,0%,0,0%,
56,2024,2024-10-03,5,5,23.363,ATL,,TAM,W 36-30,*,8,7,88,12.57,0,87.5%,11.00,0,0,,0,0,0,0.0,0,0,0,0,0,74,85%,0,0%,0,0%,
57,2024,2024-10-13,6,6,24.007,ATL,@,CAR,W 38-20,*,5,3,70,23.33,0,60.0%,14.00,0,0,,0,0,0,0.0,0,0,0,0,0,45,64%,0,0%,0,0%,
58,2024,2024-10-20,7,7,24.014,ATL,,SEA,L 14-34,*,9,7,65,9.29,0,77.8%,7.22,0,0,,0,0,0,0.0,0,0,0,0,0,55,75%,0,0%,0,0%,
59,2024,2024-10-27,8,8,24.021,ATL,@,TAM,W 31-26,*,5,4,91,22.75,2,80.0%,18.20,0,0,,0,2,12,0.0,0,0,0,0,0,30,48%,0,0%,0,0%,
60,2024,2024-11-03,9,9,24.028,ATL,,DAL,W 27-21,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0,0,0,0,31,54%,0,0%,1,4%,
61,2024,2024-11-10,10,10,24.035,ATL,@,NOR,L 17-20,*,6,4,55,13.75,0,66.7%,9.17,0,0,,0,0,0,0.0,0,0,0,0,0,40,51%,0,0%,0,0%,
62,2024,2024-11-17,11,11,24.042,ATL,@,DEN,L 6-38,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,44,75%,0,0%,0,0%,
