Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,BUF,@,BAL,L 3-47,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2018,2018-09-16,,2,,BUF,,LAC,L 20-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2018,2018-09-23,3,3,21.343,BUF,@,MIN,W 27-6,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,3,12%,
4,2018,2018-09-30,4,4,21.350,BUF,@,GNB,L 0-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,34%,0,0%,3,13%,
5,2018,2018-10-07,5,5,21.357,BUF,,TEN,W 13-12,,1,1,7,7.00,0,100.0%,7.00,1,-3,-3.00,0,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,20%,0,0%,2,10%,
6,2018,2018-10-14,6,6,21.364,BUF,@,HOU,L 13-20,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,1,18,18.00,0,1,0,0.00,0,0,0,0.0,0,0,0,,,2,1,0,0,0,0,14,23%,0,0%,2,7%,
7,2018,2018-10-21,,7,,BUF,@,IND,L 5-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2018,2018-10-29,8,8,22.014,BUF,,NWE,L 6-25,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,17%,0,0%,0,0%,
9,2018,2018-11-04,9,9,22.020,BUF,,CHI,L 9-41,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,19%,0,0%,0,0%,
10,2018,2018-11-11,10,10,22.027,BUF,@,NYJ,W 41-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,26%,0,0%,0,0%,
11,2018,2018-11-25,,12,,BUF,,JAX,W 24-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2018,2018-12-02,,13,,BUF,@,MIA,L 17-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
