Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
57,2018,2018-11-01,9,9,24.153,SFO,,OAK,W 34-3,,0.0,0,0,0,,,3,164,54.67,0,144,48.0,1,33.3%,1,33.3%,0,0,0%,0,0%,17,63%,
58,2018,2018-11-12,10,10,24.164,SFO,,NYG,L 23-27,,0.0,0,0,0,,,3,133,44.33,7,126,42.0,0,0.0%,1,33.3%,0,0,0%,0,0%,13,43%,
59,2018,2018-11-25,11,12,24.177,SFO,@,TAM,L 9-27,,0.0,0,0,0,,,6,260,43.33,6,254,42.3,0,0.0%,3,50.0%,0,0,0%,0,0%,12,43%,
60,2018,2018-12-02,12,13,24.184,SFO,@,SEA,L 16-43,,0.0,0,0,0,,,5,202,40.40,-4,206,41.2,0,0.0%,2,40.0%,0,0,0%,0,0%,11,37%,
61,2018,2018-12-09,13,14,24.191,SFO,,DEN,W 20-14,,0.0,0,0,0,,,5,210,42.00,20,170,34.0,1,20.0%,1,20.0%,0,0,0%,0,0%,13,50%,
62,2018,2018-12-16,14,15,24.198,SFO,,SEA,W 26-23,,0.0,0,0,0,,,4,192,48.00,8,164,41.0,1,25.0%,0,0.0%,0,0,0%,0,0%,17,50%,
63,2018,2018-12-23,15,16,24.205,SFO,,CHI,L 9-14,,0.0,0,0,0,,,4,181,45.25,0,181,45.3,0,0.0%,1,25.0%,0,0,0%,0,0%,10,53%,
64,2018,2018-12-30,16,17,24.212,SFO,@,LAR,L 32-48,,0.0,0,0,0,,,2,99,49.50,11,88,44.0,0,0.0%,1,50.0%,0,0,0%,0,0%,11,35%,
65,2019,2019-09-08,1,1,25.099,TAM,,SFO,L 17-31,,0.0,0,0,0,0,0,2,42,21.00,0,42,21.0,0,0.0%,1,50.0%,0,0,0%,0,0%,10,40%,
66,2019,2019-09-12,2,2,25.103,TAM,@,CAR,W 20-14,,0.0,0,0,0,0,0,6,295,49.17,39,256,42.7,0,0.0%,2,33.3%,0,0,0%,0,0%,17,57%,
67,2019,2019-09-22,3,3,25.113,TAM,,NYG,L 31-32,,0.0,0,0,0,0,0,4,179,44.75,13,146,36.5,1,25.0%,1,25.0%,0,0,0%,0,0%,19,56%,
68,2019,2019-09-29,4,4,25.120,TAM,@,LAR,W 55-40,,0.0,0,0,0,0,0,2,88,44.00,0,68,34.0,1,50.0%,0,0.0%,0,0,0%,0,0%,22,58%,
69,2019,2019-10-06,5,5,25.127,TAM,@,NOR,L 24-31,,0.0,0,0,0,0,0,6,263,43.83,8,255,42.5,0,0.0%,2,33.3%,0,0,0%,0,0%,14,47%,
70,2019,2019-10-13,6,6,25.134,TAM,,CAR,L 26-37,,0.0,0,0,0,0,0,6,267,44.50,10,257,42.8,0,0.0%,1,16.7%,0,0,0%,0,0%,16,41%,
