Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
137,2023,2023-10-22,7,7,29.143,ATL,@,TAM,W 16-13,,0.0,0,0,0,0,0,3,134,44.67,3,131,43.7,0,0.0%,0,0.0%,0,0,0%,0,0%,11,52%,
138,2023,2023-10-29,8,8,29.150,ATL,@,TEN,L 23-28,,0.0,0,0,0,0,0,6,305,50.83,47,258,43.0,0,0.0%,1,16.7%,0,0,0%,0,0%,17,49%,
139,2023,2023-11-05,9,9,29.157,ATL,,MIN,L 28-31,,0.0,0,0,0,0,0,4,175,43.75,24,131,32.8,1,25.0%,2,50.0%,0,0,0%,0,0%,17,52%,
140,2023,2023-11-12,10,10,29.164,ATL,@,ARI,L 23-25,,0.0,0,0,0,0,0,4,203,50.75,56,147,36.8,0,0.0%,1,25.0%,0,0,0%,0,0%,12,46%,
141,2023,2023-11-26,11,12,29.178,ATL,,NOR,W 24-15,,0.0,0,0,0,0,0,2,91,45.50,6,85,42.5,0,0.0%,2,100.0%,0,0,0%,0,0%,11,46%,
142,2023,2023-12-03,12,13,29.185,ATL,@,NYJ,W 13-8,,0.0,0,0,0,0,0,9,433,48.11,45,388,43.1,0,0.0%,4,44.4%,0,0,0%,0,0%,16,57%,
143,2023,2023-12-10,13,14,29.192,ATL,,TAM,L 25-29,,0.0,0,0,0,0,0,4,180,45.00,26,154,38.5,0,0.0%,2,50.0%,0,0,0%,0,0%,15,47%,
144,2023,2023-12-17,14,15,29.199,ATL,@,CAR,L 7-9,,0.0,0,0,0,0,0,5,198,39.60,0,198,39.6,0,0.0%,2,40.0%,0,0,0%,0,0%,8,42%,
145,2023,2023-12-24,15,16,29.206,ATL,,IND,W 29-10,,0.0,0,0,0,0,0,3,134,44.67,0,134,44.7,0,0.0%,2,66.7%,0,0,0%,0,0%,19,68%,
146,2023,2023-12-31,16,17,29.213,ATL,@,CHI,L 17-37,,0.0,0,0,0,0,0,3,128,42.67,19,109,36.3,0,0.0%,0,0.0%,0,0,0%,0,0%,12,38%,
147,2023,2024-01-07,17,18,29.220,ATL,@,NOR,L 17-48,,0.0,0,0,0,0,0,5,254,50.80,18,216,43.2,1,20.0%,1,20.0%,0,0,0%,0,0%,11,34%,
148,2024,2024-09-08,1,1,30.099,ATL,,PIT,L 10-18,,0.0,0,0,0,0,0,4,210,52.50,66,144,36.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,36%,
149,2024,2024-09-16,2,2,30.107,ATL,@,PHI,W 22-21,,0.0,0,0,0,0,0,2,89,44.50,9,80,40.0,0,0.0%,0,0.0%,0,0,0%,0,0%,12,55%,
150,2024,2024-09-22,3,3,30.113,ATL,,KAN,L 17-22,,0.0,0,0,0,0,0,3,162,54.00,12,130,43.3,1,33.3%,0,0.0%,0,0,0%,0,0%,10,42%,
151,2024,2024-09-29,4,4,30.120,ATL,,NOR,W 26-24,,0.0,0,0,0,0,0,3,132,44.00,17,115,38.3,0,0.0%,2,66.7%,0,0,0%,0,0%,9,32%,
152,2024,2024-10-03,5,5,30.124,ATL,,TAM,W 36-30,,0.0,0,0,0,0,0,1,35,35.00,0,35,35.0,0,0.0%,1,100.0%,0,0,0%,0,0%,10,31%,
153,2024,2024-10-13,6,6,30.134,ATL,@,CAR,W 38-20,,0.0,0,0,0,0,0,1,52,52.00,12,40,40.0,0,0.0%,0,0.0%,0,0,0%,0,0%,15,56%,
154,2024,2024-10-20,7,7,30.141,ATL,,SEA,L 14-34,,0.0,0,0,0,0,0,3,133,44.33,18,115,38.3,0,0.0%,1,33.3%,0,0,0%,0,0%,7,27%,
155,2024,2024-10-27,8,8,30.148,ATL,@,TAM,W 31-26,,0.0,0,0,0,0,0,3,128,42.67,31,97,32.3,0,0.0%,1,33.3%,0,0,0%,0,0%,16,59%,
156,2024,2024-11-03,9,9,30.155,ATL,,DAL,W 27-21,,0.0,1,0,1,0,0,5,245,49.00,37,208,41.6,0,0.0%,1,20.0%,0,0,0%,0,0%,14,54%,
157,2024,2024-11-10,10,10,30.162,ATL,@,NOR,L 17-20,,0.0,0,0,0,0,0,3,144,48.00,18,126,42.0,0,0.0%,1,33.3%,0,0,0%,0,0%,13,48%,
158,2024,2024-11-17,11,11,30.169,ATL,@,DEN,L 6-38,,0.0,0,0,0,0,0,5,250,50.00,57,190,38.0,0,0.0%,1,20.0%,0,0,0%,0,0%,10,38%,
