Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2021,2021-11-28,11,12,23.136,ATL,@,JAX,W 21-14,,0,0,,0,0,0,0,,0,0.0%,,4,91,22.75,0,1,3,3.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,59%,
12,2021,2021-12-05,12,13,23.143,ATL,,TAM,L 17-30,,0,0,,0,0,0,0,,0,0.0%,,1,30,30.00,0,1,7,7.00,0,0,0,0.0,2,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0%,5,7%,18,69%,
13,2021,2021-12-12,13,14,23.150,ATL,@,CAR,W 29-21,,0,0,,0,0,0,0,,0,0.0%,,1,38,38.00,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,70%,
14,2021,2021-12-19,14,15,23.157,ATL,@,SFO,L 13-31,,0,0,,0,0,0,0,,0,0.0%,,3,79,26.33,0,1,23,23.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,79%,
15,2021,2021-12-26,15,16,23.164,ATL,,DET,W 20-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,74%,
16,2021,2022-01-02,16,17,23.171,ATL,@,BUF,L 15-29,,0,0,,0,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,16,85%,
17,2021,2022-01-09,17,18,23.178,ATL,,NOR,L 20-30,,0,0,,0,0,0,0,,0,0.0%,,3,85,28.33,0,1,12,12.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,85%,
18,2022,2022-09-11,1,1,24.058,ATL,,NOR,L 26-27,,2,7,3.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,3,42,14.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31%,0,0%,16,50%,
19,2022,2022-09-18,2,2,24.065,ATL,@,LAR,L 27-31,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,25%,1,2%,19,83%,
20,2022,2022-09-25,3,3,24.072,ATL,@,SEA,W 27-23,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7%,0,0%,20,80%,
21,2022,2022-10-02,4,4,24.079,ATL,,CLE,W 23-20,,1,21,21.00,0,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,13%,0,0%,21,81%,
22,2022,2022-10-09,5,5,24.086,ATL,@,TAM,L 15-21,*,3,11,3.67,1,2,2,10,5.00,0,100.0%,5.00,3,69,23.00,0,1,28,28.00,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26%,0,0%,19,86%,
23,2022,2022-10-16,6,6,24.093,ATL,,SFO,W 28-14,*,2,6,3.00,0,1,1,2,2.00,0,100.0%,2.00,1,28,28.00,0,2,48,24.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12%,0,0%,18,82%,
24,2022,2022-10-23,7,7,24.100,ATL,@,CIN,L 17-35,,1,4,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,2,64,32.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15%,0,0%,17,68%,
25,2022,2022-10-30,8,8,24.107,ATL,,CAR,W 37-34,,0,0,,0,2,2,7,3.50,0,100.0%,3.50,4,74,18.50,0,1,19,19.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7%,0,0%,24,69%,
26,2022,2022-11-06,9,9,24.114,ATL,,LAC,L 17-20,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,20,83%,
27,2022,2022-11-10,10,10,24.118,ATL,@,CAR,L 15-25,,4,25,6.25,0,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14%,0,0%,26,90%,
28,2022,2022-11-20,11,11,24.128,ATL,,CHI,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,31,10.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0%,0,0%,19,70%,
29,2022,2022-11-27,12,12,24.135,ATL,@,WAS,L 13-19,*,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12%,0,0%,17,71%,
30,2022,2022-12-04,13,13,24.142,ATL,,PIT,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,2,45,22.50,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,72%,
31,2022,2022-12-18,14,15,24.156,ATL,@,NOR,L 18-21,,0,0,,0,2,2,10,5.00,0,100.0%,5.00,1,3,3.00,0,2,13,6.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,15,68%,
