Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
36,2021,2021-10-03,4,4,26.223,ATL,,WAS,L 30-34,*,,,,,,0.0%,,,,,,,,,,,,,,76,100%,0,0%,4,15%,
37,2021,2021-10-10,5,5,26.230,ATL,,NYJ,W 27-20,*,,,,,,0.0%,,,,,,,,,,,,,,78,100%,0,0%,5,21%,
38,2021,2021-10-24,6,7,,ATL,@,MIA,W 30-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,2021,2021-10-31,7,8,26.251,ATL,,CAR,L 13-19,*,,,,,,0.0%,,,,,,,,,,,,,,53,100%,0,0%,4,15%,
40,2021,2021-11-07,8,9,26.258,ATL,@,NOR,W 27-25,*,,,,,,0.0%,,,,,,,,,,,,,,59,100%,0,0%,5,19%,
41,2021,2021-11-14,9,10,26.265,ATL,@,DAL,L 3-43,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,54,100%,0,0%,1,4%,
42,2021,2021-11-18,10,11,26.269,ATL,,NWE,L 0-25,*,,,,,,0.0%,,,,,,,,,,,,,,54,100%,0,0%,2,8%,
43,2021,2021-11-28,11,12,26.279,ATL,@,JAX,W 21-14,*,,,,,,0.0%,,,,,,,,,,,,,,60,100%,0,0%,4,18%,
44,2021,2021-12-05,12,13,26.286,ATL,,TAM,L 17-30,*,,,,,,0.0%,,,,,,,,,,,,,,71,100%,0,0%,3,12%,
45,2021,2021-12-12,13,14,26.293,ATL,@,CAR,W 29-21,*,,,,,,0.0%,,,,,,,,,,,,,,69,100%,0,0%,5,22%,
46,2021,2021-12-19,14,15,26.300,ATL,@,SFO,L 13-31,*,,,,,,0.0%,,,,,,,,,,,,,,60,100%,0,0%,3,13%,
47,2021,2021-12-26,15,16,26.307,ATL,,DET,W 20-16,*,,,,,,0.0%,,,,,,,,,,,,,,46,100%,0,0%,4,17%,
48,2021,2022-01-02,16,17,26.314,ATL,@,BUF,L 15-29,*,,,,,,0.0%,,,,,,,,,,,,,,53,100%,0,0%,3,16%,
49,2021,2022-01-09,17,18,26.321,ATL,,NOR,L 20-30,*,,,,,,0.0%,,,,,,,,,,,,,,50,100%,0,0%,4,15%,
50,2022,2022-09-11,1,1,27.201,ATL,,NOR,L 26-27,*,,,,,,0.0%,,,,,,,,,,,,,,75,100%,0,0%,7,22%,
51,2022,2022-09-18,2,2,27.208,ATL,@,LAR,L 27-31,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,4,17%,
52,2022,2022-09-25,3,3,27.215,ATL,@,SEA,W 27-23,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,0,0,57,100%,0,0%,5,20%,
53,2022,2022-10-02,4,4,27.222,ATL,,CLE,W 23-20,*,,,,,,0.0%,,,,,,,,,,,,,,55,100%,0,0%,5,19%,
54,2022,2022-10-09,5,5,27.229,ATL,@,TAM,L 15-21,*,,,,,,0.0%,,,,,,,,,,,,,,66,100%,0,0%,2,9%,
55,2022,2022-10-16,6,6,27.236,ATL,,SFO,W 28-14,*,,,,,,0.0%,,,,,,,,,,,,,,58,100%,0,0%,4,18%,
56,2022,2022-10-23,7,7,27.243,ATL,@,CIN,L 17-35,*,,,,,,0.0%,,,,,,,,,,,,,,47,100%,0,0%,3,12%,
57,2022,2022-10-30,8,8,27.250,ATL,,CAR,W 37-34,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,7,20%,
58,2022,2022-11-06,9,9,27.257,ATL,,LAC,L 17-20,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,4,17%,
59,2022,2022-11-10,10,10,27.261,ATL,@,CAR,L 15-25,*,,,,,,0.0%,,,,,,,,,,,,,,63,100%,0,0%,3,10%,
60,2022,2022-11-20,11,11,27.271,ATL,,CHI,W 27-24,*,,,,,,0.0%,,,,,,,,,,,,,,55,100%,0,0%,5,19%,
61,2022,2022-11-27,12,12,27.278,ATL,@,WAS,L 13-19,*,,,,,,0.0%,,,,,,,,,,,,,,57,100%,0,0%,4,17%,
62,2022,2022-12-04,13,13,27.285,ATL,,PIT,L 16-19,*,,,,,,0.0%,,,,,,,,,,,,,,54,100%,0,0%,4,16%,
63,2022,2022-12-18,14,15,27.299,ATL,@,NOR,L 18-21,*,,,,,,0.0%,,,,,,,,,,,,,,74,100%,0,0%,2,9%,
64,2022,2022-12-24,15,16,27.305,ATL,@,BAL,L 9-17,*,,,,,,0.0%,,,,,,,,,,,,,,71,100%,0,0%,3,14%,
65,2022,2023-01-01,16,17,27.313,ATL,,ARI,W 20-19,*,,,,,,0.0%,,,,,,,,,,,,,,62,100%,0,0%,4,16%,
66,2022,2023-01-08,17,18,27.320,ATL,,TAM,W 30-17,*,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,68,100%,0,0%,6,21%,
67,2023,2023-09-10,1,1,28.200,ATL,,CAR,W 24-10,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,52,100%,0,0%,4,15%,
68,2023,2023-09-17,2,2,28.207,ATL,,GNB,W 25-24,*,,,,,,0.0%,,,,,,,,,,,,,,82,100%,0,0%,6,22%,
69,2023,2023-09-24,3,3,28.214,ATL,@,DET,L 6-20,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,3,11%,
