Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,21.095,ARI,@,TEN,W 38-13,*,5,4,68,17.00,0,80.0%,13.60,0,0,,0,1,22,22.00,0,2,24,12.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,29%,0,0%,7,26%,
2,2021,2021-09-19,2,2,21.102,ARI,,MIN,W 34-33,*,8,7,114,16.29,1,87.5%,14.25,0,0,,0,1,21,21.00,0,3,19,6.33,0,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,28,46%,0,0%,13,36%,
3,2021,2021-09-26,3,3,21.109,ARI,@,JAX,W 31-19,,2,2,1,0.50,0,100.0%,0.50,1,3,3.00,0,0,0,,0,2,27,13.50,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,23,34%,0,0%,9,31%,
4,2021,2021-10-03,4,4,21.116,ARI,@,LAR,W 37-20,,3,3,28,9.33,0,100.0%,9.33,2,9,4.50,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,42%,0,0%,6,21%,
5,2021,2021-10-10,5,5,21.123,ARI,,SFO,W 17-10,,6,5,59,11.80,0,83.3%,9.83,3,38,12.67,0,0,0,,0,1,12,12.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,48%,0,0%,5,26%,
6,2021,2021-10-17,6,6,21.130,ARI,@,CLE,W 37-14,,4,3,16,5.33,0,75.0%,4.00,3,10,3.33,0,1,23,23.00,0,2,8,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,56%,0,0%,4,17%,
7,2021,2021-10-24,7,7,21.137,ARI,,HOU,W 31-5,,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,2,27,13.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,52%,0,0%,7,27%,
8,2021,2021-10-28,8,8,21.141,ARI,,GNB,L 21-24,,4,3,24,8.00,0,75.0%,6.00,2,1,0.50,0,2,48,24.00,0,3,14,4.67,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,36,61%,0,0%,8,36%,
9,2021,2021-11-07,9,9,21.151,ARI,@,SFO,W 31-17,*,5,5,25,5.00,0,100.0%,5.00,0,0,,0,1,22,22.00,0,1,2,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,81%,0,0%,5,19%,
10,2021,2021-11-14,10,10,21.158,ARI,,CAR,L 10-34,*,4,2,10,5.00,0,50.0%,2.50,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,18,33%,0,0%,0,0%,
11,2021,2021-11-21,11,11,21.165,ARI,@,SEA,W 23-13,*,11,11,51,4.64,0,100.0%,4.64,0,0,,0,1,27,27.00,0,2,20,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,39%,0,0%,6,22%,
12,2021,2021-12-05,12,13,21.179,ARI,@,CHI,W 33-22,*,2,1,8,8.00,0,50.0%,4.00,3,2,0.67,0,3,71,23.67,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,43%,0,0%,7,29%,
13,2021,2021-12-13,13,14,21.187,ARI,,LAR,L 23-30,*,4,3,5,1.67,0,75.0%,1.25,2,11,5.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,44%,0,0%,9,33%,
14,2021,2021-12-19,14,15,21.193,ARI,@,DET,L 12-30,,3,3,9,3.00,0,100.0%,3.00,1,1,1.00,0,2,48,24.00,0,2,18,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,27%,0,0%,8,32%,
15,2021,2021-12-25,15,16,,ARI,,IND,L 16-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2021,2022-01-02,16,17,,ARI,@,DAL,W 25-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2021,2022-01-09,17,18,,ARI,,SEA,L 30-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2022,2022-09-11,1,1,,ARI,,KAN,L 21-44,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2022,2022-09-18,2,2,,ARI,@,LVR,W 29-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
