Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
82,2022,2023-01-08,17,18,25.331,DET,@,GNB,W 20-16,*,0,0,,0,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,62%,7,28%,
83,2023,2023-09-10,1,1,,ATL,,CAR,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
84,2023,2023-09-17,2,2,26.218,ATL,,GNB,W 25-24,,1,19,19.00,0,2,20,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,9,33%,
85,2023,2023-09-24,3,3,26.225,ATL,@,DET,L 6-20,,2,27,13.50,0,3,11,3.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,10%,11,41%,
86,2023,2023-10-01,4,4,26.232,ATL,@,JAX,L 7-23,,0,0,,0,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,41%,6,27%,
87,2023,2023-10-08,5,5,26.239,ATL,,HOU,W 21-19,,0,0,,0,1,10,10.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,14%,10,34%,
88,2023,2023-10-15,6,6,26.246,ATL,,WAS,L 16-24,,0,0,,0,3,11,3.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,6,25%,
89,2023,2023-10-22,7,7,26.253,ATL,@,TAM,W 16-13,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,3,14%,
90,2023,2023-10-29,8,8,26.260,ATL,@,TEN,L 23-28,,0,0,,0,1,6,6.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,7%,13,37%,
91,2023,2023-11-05,9,9,26.267,ATL,,MIN,L 28-31,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,27%,9,27%,
92,2023,2023-11-12,10,10,26.274,ATL,@,ARI,L 23-25,,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,28%,5,19%,
93,2023,2023-11-26,11,12,26.288,ATL,,NOR,W 24-15,*,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,25%,1,4%,
94,2023,2023-12-03,12,13,,ATL,@,NYJ,W 13-8,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
95,2023,2023-12-10,13,14,26.302,ATL,,TAM,L 25-29,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,15%,0,0%,
96,2023,2023-12-17,14,15,26.309,ATL,@,CAR,L 7-9,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,89%,0,0%,
97,2023,2023-12-24,15,16,26.316,ATL,,IND,W 29-10,,0,0,,0,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,89%,0,0%,
98,2023,2023-12-31,16,17,26.323,ATL,@,CHI,L 17-37,*,0,0,,0,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,36,49%,0,0%,
99,2023,2024-01-07,17,18,26.330,ATL,@,NOR,L 17-48,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,82%,0,0%,
100,2024,2024-09-08,1,1,27.210,ATL,,PIT,L 10-18,*,0,0,,0,0,0,,0,0,0,0.0,7,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,84%,6,24%,
101,2024,2024-09-16,2,2,27.218,ATL,@,PHI,W 22-21,*,0,0,,0,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,48,68%,3,14%,
102,2024,2024-09-22,3,3,27.224,ATL,,KAN,L 17-22,*,0,0,,0,0,0,,0,0,0,0.0,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,70%,5,21%,
103,2024,2024-09-29,4,4,27.231,ATL,,NOR,W 26-24,*,0,0,,0,0,0,,0,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,77%,4,14%,
104,2024,2024-10-03,5,5,27.235,ATL,,TAM,W 36-30,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,81%,6,19%,
105,2024,2024-10-13,6,6,27.245,ATL,@,CAR,W 38-20,*,0,0,,0,0,0,,0,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,67%,0,0%,
106,2024,2024-10-20,7,7,27.252,ATL,,SEA,L 14-34,*,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,50,83%,0,0%,
107,2024,2024-10-27,8,8,27.259,ATL,@,TAM,W 31-26,*,0,0,,0,0,0,,0,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,78%,0,0%,
108,2024,2024-11-03,9,9,27.266,ATL,,DAL,W 27-21,*,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,100%,0,0%,
109,2024,2024-11-10,10,10,27.273,ATL,@,NOR,L 17-20,*,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,25%,0,0%,
110,2024,2024-11-17,11,11,,ATL,@,DEN,L 6-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
