Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
51,2021,2021-09-26,3,3,24.227,KAN,,LAC,L 24-30,,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,50,76%,1,4%,
52,2021,2021-10-03,4,4,24.234,KAN,@,PHI,W 42-30,*,0,0,,0,0,0,,0,0,0,0.0,9,1,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,70,95%,0,0%,
53,2021,2021-10-10,5,5,24.241,KAN,,BUF,L 20-38,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,32%,16,55%,
54,2021,2021-10-17,6,6,24.248,KAN,@,WAS,W 31-13,,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,80%,14,56%,
55,2021,2021-10-24,7,7,24.255,KAN,@,TEN,L 3-27,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,24%,10,53%,
56,2021,2021-11-01,8,8,24.263,KAN,,NYG,W 20-17,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,2,3%,9,36%,
57,2021,2021-11-07,9,9,24.269,KAN,,GNB,W 13-7,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,11,50%,
58,2021,2021-11-14,10,10,24.276,KAN,@,LVR,W 41-14,,0,0,,0,2,46,23.00,0,0,0,0.0,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0%,26,48%,15,54%,
59,2021,2021-11-21,11,11,24.283,KAN,,DAL,W 19-9,,0,0,,0,1,9,9.00,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,10,15%,14,52%,
60,2021,2021-12-05,12,13,24.297,KAN,,DEN,W 22-9,*,0,0,,0,2,13,6.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,14%,7,32%,
61,2021,2021-12-12,13,14,24.304,KAN,,LVR,W 48-9,*,0,0,,0,0,0,,0,1,6,0.0,8,1,9,0,0,0,0,0,0,0,0,2,1,23,1,0,0%,63,100%,11,42%,
62,2021,2021-12-16,14,15,24.308,KAN,@,LAC,W 34-28,*,0,0,,0,0,0,,0,0,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,74%,0,0%,
63,2021,2021-12-26,15,16,24.318,KAN,,PIT,W 36-10,*,0,0,,0,0,0,,0,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,83%,8,31%,
